Model,StimulusType,Frames,Accuracy,Precision,Recall,F1,TruePositives,FalsePositives,FalseNegatives
LGMD,lateral,30,1.0,0.0,0.0,0.0,0,0,0
EMD,lateral,30,0.0333,0.0,0.0,0.0,0,29,0
SNN,lateral,30,1.0,0.0,0.0,0.0,0,0,0
LGMD,lateral,30,1.0,0.0,0.0,0.0,0,0,0
EMD,lateral,30,0.0333,0.0,0.0,0.0,0,29,0
SNN,lateral,30,1.0,0.0,0.0,0.0,0,0,0
LGMD,looming,30,0.2667,0.0,0.0,0.0,0,0,22
EMD,looming,30,0.3667,1.0,0.1364,0.24,3,0,19
SNN,looming,30,0.7333,1.0,0.6364,0.7778,14,0,8
LGMD,looming,30,0.2333,0.0,0.0,0.0,0,0,23
EMD,looming,30,0.2333,0.5,0.0435,0.08,1,1,22
SNN,looming,30,0.7333,1.0,0.6522,0.7895,15,0,8
LGMD,looming_camera,30,0.5,0.0,0.0,0.0,0,0,15
EMD,looming_camera,30,0.4333,0.4375,0.4667,0.4516,7,9,8
SNN,looming_camera,30,0.8333,1.0,0.6667,0.8,10,0,5
LGMD,looming_camera,30,0.5,0.0,0.0,0.0,0,0,15
EMD,looming_camera,30,0.3667,0.3333,0.2667,0.2963,4,8,11
SNN,looming_camera,30,0.7333,1.0,0.4667,0.6364,7,0,8
LGMD,looming_lighting,30,0.4,0.0,0.0,0.0,0,3,15
EMD,looming_lighting,30,0.5667,0.75,0.2,0.3158,3,1,12
SNN,looming_lighting,30,0.7,1.0,0.4,0.5714,6,0,9
LGMD,looming_lighting,30,0.4,0.0,0.0,0.0,0,3,15
EMD,looming_lighting,30,0.5667,0.75,0.2,0.3158,3,1,12
SNN,looming_lighting,30,0.7,1.0,0.4,0.5714,6,0,9
LGMD,receding,30,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,30,0.9,0.0,0.0,0.0,0,3,0
SNN,receding,30,0.2667,0.0,0.0,0.0,0,22,0
LGMD,receding,30,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,30,0.9333,0.0,0.0,0.0,0,2,0
SNN,receding,30,0.2333,0.0,0.0,0.0,0,23,0
