Video,StimulusType,Frame,TrueLabel,LGMD_Pred,EMD_Pred,SNN_Pred
lateral_04.mp4,lateral,0,0,0,0,0
lateral_04.mp4,lateral,1,0,0,1,0
lateral_04.mp4,lateral,2,0,0,1,0
lateral_04.mp4,lateral,3,0,0,1,0
lateral_04.mp4,lateral,4,0,0,1,0
lateral_04.mp4,lateral,5,0,0,1,0
lateral_04.mp4,lateral,6,0,0,1,0
lateral_04.mp4,lateral,7,0,0,1,0
lateral_04.mp4,lateral,8,0,0,1,0
lateral_04.mp4,lateral,9,0,0,1,0
lateral_04.mp4,lateral,10,0,0,1,0
lateral_04.mp4,lateral,11,0,0,1,0
lateral_04.mp4,lateral,12,0,0,1,0
lateral_04.mp4,lateral,13,0,0,1,0
lateral_04.mp4,lateral,14,0,0,1,0
lateral_04.mp4,lateral,15,0,0,1,0
lateral_04.mp4,lateral,16,0,0,1,0
lateral_04.mp4,lateral,17,0,0,1,0
lateral_04.mp4,lateral,18,0,0,1,0
lateral_04.mp4,lateral,19,0,0,1,0
lateral_04.mp4,lateral,20,0,0,1,0
lateral_04.mp4,lateral,21,0,0,1,0
lateral_04.mp4,lateral,22,0,0,1,0
lateral_04.mp4,lateral,23,0,0,1,0
lateral_04.mp4,lateral,24,0,0,1,0
lateral_04.mp4,lateral,25,0,0,1,0
lateral_04.mp4,lateral,26,0,0,1,0
lateral_04.mp4,lateral,27,0,0,1,0
lateral_04.mp4,lateral,28,0,0,1,0
lateral_04.mp4,lateral,29,0,0,1,0
lateral_05.mp4,lateral,0,0,0,0,0
lateral_05.mp4,lateral,1,0,0,1,0
lateral_05.mp4,lateral,2,0,0,1,0
lateral_05.mp4,lateral,3,0,0,1,0
lateral_05.mp4,lateral,4,0,0,1,0
lateral_05.mp4,lateral,5,0,0,1,0
lateral_05.mp4,lateral,6,0,0,1,0
lateral_05.mp4,lateral,7,0,0,1,0
lateral_05.mp4,lateral,8,0,0,1,0
lateral_05.mp4,lateral,9,0,0,1,0
lateral_05.mp4,lateral,10,0,0,1,0
lateral_05.mp4,lateral,11,0,0,1,0
lateral_05.mp4,lateral,12,0,0,1,0
lateral_05.mp4,lateral,13,0,0,1,0
lateral_05.mp4,lateral,14,0,0,1,0
lateral_05.mp4,lateral,15,0,0,1,0
lateral_05.mp4,lateral,16,0,0,1,0
lateral_05.mp4,lateral,17,0,0,1,0
lateral_05.mp4,lateral,18,0,0,1,0
lateral_05.mp4,lateral,19,0,0,1,0
lateral_05.mp4,lateral,20,0,0,1,0
lateral_05.mp4,lateral,21,0,0,1,0
lateral_05.mp4,lateral,22,0,0,1,0
lateral_05.mp4,lateral,23,0,0,1,0
lateral_05.mp4,lateral,24,0,0,1,0
lateral_05.mp4,lateral,25,0,0,1,0
lateral_05.mp4,lateral,26,0,0,1,0
lateral_05.mp4,lateral,27,0,0,1,0
lateral_05.mp4,lateral,28,0,0,1,0
lateral_05.mp4,lateral,29,0,0,1,0
looming_04.mp4,looming,0,0,0,0,0
looming_04.mp4,looming,1,0,0,0,0
looming_04.mp4,looming,2,0,0,0,0
looming_04.mp4,looming,3,0,0,0,0
looming_04.mp4,looming,4,0,0,0,0
looming_04.mp4,looming,5,0,0,0,0
looming_04.mp4,looming,6,0,0,0,0
looming_04.mp4,looming,7,0,0,0,0
looming_04.mp4,looming,8,1,0,0,0
looming_04.mp4,looming,9,1,0,0,0
looming_04.mp4,looming,10,1,0,0,0
looming_04.mp4,looming,11,1,0,1,0
looming_04.mp4,looming,12,1,0,1,0
looming_04.mp4,looming,13,1,0,0,0
looming_04.mp4,looming,14,1,0,0,0
looming_04.mp4,looming,15,1,0,0,0
looming_04.mp4,looming,16,1,0,0,1
looming_04.mp4,looming,17,1,0,1,1
looming_04.mp4,looming,18,1,0,0,1
looming_04.mp4,looming,19,1,0,0,1
looming_04.mp4,looming,20,1,0,0,1
looming_04.mp4,looming,21,1,0,0,1
looming_04.mp4,looming,22,1,0,0,1
looming_04.mp4,looming,23,1,0,0,1
looming_04.mp4,looming,24,1,0,0,1
looming_04.mp4,looming,25,1,0,0,1
looming_04.mp4,looming,26,1,0,0,1
looming_04.mp4,looming,27,1,0,0,1
looming_04.mp4,looming,28,1,0,0,1
looming_04.mp4,looming,29,1,0,0,1
looming_05.mp4,looming,0,0,0,0,0
looming_05.mp4,looming,1,0,0,0,0
looming_05.mp4,looming,2,0,0,0,0
looming_05.mp4,looming,3,0,0,0,0
looming_05.mp4,looming,4,0,0,0,0
looming_05.mp4,looming,5,0,0,1,0
looming_05.mp4,looming,6,0,0,0,0
looming_05.mp4,looming,7,1,0,0,0
looming_05.mp4,looming,8,1,0,0,0
looming_05.mp4,looming,9,1,0,0,0
looming_05.mp4,looming,10,1,0,0,0
looming_05.mp4,looming,11,1,0,0,0
looming_05.mp4,looming,12,1,0,0,0
looming_05.mp4,looming,13,1,0,1,0
looming_05.mp4,looming,14,1,0,0,0
looming_05.mp4,looming,15,1,0,0,1
looming_05.mp4,looming,16,1,0,0,1
looming_05.mp4,looming,17,1,0,0,1
looming_05.mp4,looming,18,1,0,0,1
looming_05.mp4,looming,19,1,0,0,1
looming_05.mp4,looming,20,1,0,0,1
looming_05.mp4,looming,21,1,0,0,1
looming_05.mp4,looming,22,1,0,0,1
looming_05.mp4,looming,23,1,0,0,1
looming_05.mp4,looming,24,1,0,0,1
looming_05.mp4,looming,25,1,0,0,1
looming_05.mp4,looming,26,1,0,0,1
looming_05.mp4,looming,27,1,0,0,1
looming_05.mp4,looming,28,1,0,0,1
looming_05.mp4,looming,29,1,0,0,1
looming_camera_04.mp4,looming_camera,0,0,0,0,0
looming_camera_04.mp4,looming_camera,1,0,0,1,0
looming_camera_04.mp4,looming_camera,2,0,0,1,0
looming_camera_04.mp4,looming_camera,3,0,0,0,0
looming_camera_04.mp4,looming_camera,4,0,0,1,0
looming_camera_04.mp4,looming_camera,5,0,0,1,0
looming_camera_04.mp4,looming_camera,6,0,0,0,0
looming_camera_04.mp4,looming_camera,7,0,0,0,0
looming_camera_04.mp4,looming_camera,8,0,0,1,0
looming_camera_04.mp4,looming_camera,9,0,0,0,0
looming_camera_04.mp4,looming_camera,10,0,0,1,0
looming_camera_04.mp4,looming_camera,11,0,0,1,0
looming_camera_04.mp4,looming_camera,12,0,0,0,0
looming_camera_04.mp4,looming_camera,13,0,0,1,0
looming_camera_04.mp4,looming_camera,14,0,0,1,0
looming_camera_04.mp4,looming_camera,15,1,0,0,0
looming_camera_04.mp4,looming_camera,16,1,0,1,0
looming_camera_04.mp4,looming_camera,17,1,0,0,0
looming_camera_04.mp4,looming_camera,18,1,0,0,0
looming_camera_04.mp4,looming_camera,19,1,0,1,0
looming_camera_04.mp4,looming_camera,20,1,0,1,1
looming_camera_04.mp4,looming_camera,21,1,0,0,1
looming_camera_04.mp4,looming_camera,22,1,0,0,1
looming_camera_04.mp4,looming_camera,23,1,0,1,1
looming_camera_04.mp4,looming_camera,24,1,0,0,1
looming_camera_04.mp4,looming_camera,25,1,0,1,1
looming_camera_04.mp4,looming_camera,26,1,0,0,1
looming_camera_04.mp4,looming_camera,27,1,0,1,1
looming_camera_04.mp4,looming_camera,28,1,0,0,1
looming_camera_04.mp4,looming_camera,29,1,0,1,1
looming_camera_05.mp4,looming_camera,0,0,0,0,0
looming_camera_05.mp4,looming_camera,1,0,0,1,0
looming_camera_05.mp4,looming_camera,2,0,0,1,0
looming_camera_05.mp4,looming_camera,3,0,0,1,0
looming_camera_05.mp4,looming_camera,4,0,0,1,0
looming_camera_05.mp4,looming_camera,5,0,0,0,0
looming_camera_05.mp4,looming_camera,6,0,0,0,0
looming_camera_05.mp4,looming_camera,7,0,0,0,0
looming_camera_05.mp4,looming_camera,8,0,0,1,0
looming_camera_05.mp4,looming_camera,9,0,0,0,0
looming_camera_05.mp4,looming_camera,10,0,0,1,0
looming_camera_05.mp4,looming_camera,11,0,0,1,0
looming_camera_05.mp4,looming_camera,12,0,0,0,0
looming_camera_05.mp4,looming_camera,13,0,0,1,0
looming_camera_05.mp4,looming_camera,14,0,0,0,0
looming_camera_05.mp4,looming_camera,15,1,0,1,0
looming_camera_05.mp4,looming_camera,16,1,0,0,0
looming_camera_05.mp4,looming_camera,17,1,0,0,0
looming_camera_05.mp4,looming_camera,18,1,0,0,0
looming_camera_05.mp4,looming_camera,19,1,0,0,0
looming_camera_05.mp4,looming_camera,20,1,0,1,0
looming_camera_05.mp4,looming_camera,21,1,0,1,0
looming_camera_05.mp4,looming_camera,22,1,0,0,0
looming_camera_05.mp4,looming_camera,23,1,0,1,1
looming_camera_05.mp4,looming_camera,24,1,0,0,1
looming_camera_05.mp4,looming_camera,25,1,0,0,1
looming_camera_05.mp4,looming_camera,26,1,0,0,1
looming_camera_05.mp4,looming_camera,27,1,0,0,1
looming_camera_05.mp4,looming_camera,28,1,0,0,1
looming_camera_05.mp4,looming_camera,29,1,0,0,1
looming_lighting_04.mp4,looming_lighting,0,0,0,0,0
looming_lighting_04.mp4,looming_lighting,1,0,0,0,0
