Model,StimulusType,Frames,Accuracy,Precision,Recall,F1,TruePositives,FalsePositives,FalseNegatives
LGMD,looming,279,0.0,0.0,0.0,0.0,0,0,279
EMD,looming,279,0.0,0.0,0.0,0.0,0,0,279
SNN,looming,279,1.0,1.0,1.0,1.0,279,0,0
LGMD,looming,292,0.0,0.0,0.0,0.0,0,0,292
EMD,looming,292,0.0,0.0,0.0,0.0,0,0,292
SNN,looming,292,1.0,1.0,1.0,1.0,292,0,0
LGMD,looming,284,0.0,0.0,0.0,0.0,0,0,284
EMD,looming,284,0.0,0.0,0.0,0.0,0,0,284
SNN,looming,284,1.0,1.0,1.0,1.0,284,0,0
LGMD,looming,275,0.0,0.0,0.0,0.0,0,0,275
EMD,looming,275,0.0,0.0,0.0,0.0,0,0,275
SNN,looming,275,1.0,1.0,1.0,1.0,275,0,0
LGMD,looming,329,0.0,0.0,0.0,0.0,0,0,329
EMD,looming,329,0.0,0.0,0.0,0.0,0,0,329
SNN,looming,329,1.0,1.0,1.0,1.0,329,0,0
LGMD,receding,305,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,305,1.0,0.0,0.0,0.0,0,0,0
SNN,receding,305,0.0,0.0,0.0,0.0,0,305,0
LGMD,receding,355,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,355,1.0,0.0,0.0,0.0,0,0,0
SNN,receding,355,0.0,0.0,0.0,0.0,0,355,0
LGMD,receding,302,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,302,1.0,0.0,0.0,0.0,0,0,0
SNN,receding,302,0.0,0.0,0.0,0.0,0,302,0
LGMD,receding,349,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,349,1.0,0.0,0.0,0.0,0,0,0
SNN,receding,349,0.0,0.0,0.0,0.0,0,349,0
LGMD,receding,318,1.0,0.0,0.0,0.0,0,0,0
EMD,receding,318,1.0,0.0,0.0,0.0,0,0,0
SNN,receding,318,0.0,0.0,0.0,0.0,0,318,0
