Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.585365,0.585365,-2.725114,0
11,0.584857,0.584857,-2.720167,0
12,0.585284,0.585284,-2.724924,0
13,0.585381,0.585381,-2.725245,0
14,0.584877,0.584877,-2.720335,0
15,0.585291,0.58529,-2.724979,0
16,0.585381,0.585381,-2.725245,0
17,0.584332,0.584332,-2.716815,0
18,0.585098,0.585098,-2.723294,0
19,0.585207,0.585207,-2.72315,0
20,0.584253,0.584253,-2.716224,0
21,0.585004,0.585004,-2.72239,0
22,0.585204,0.585204,-2.722758,0
23,0.584093,0.584093,-2.715018,0
24,0.584857,0.584857,-2.720167,0
25,0.585287,0.585287,-2.725055,0
26,0.585365,0.585365,-2.725114,0
27,0.584857,0.584857,-2.720167,0
28,0.585287,0.585287,-2.725055,0
29,0.585365,0.585365,-2.725114,0
30,0.584312,0.584312,-2.716647,0
