Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.410577,0.410577,4.568635,1
11,0.410577,0.410577,4.568635,1
12,0.410577,0.410577,4.568635,1
13,0.410577,0.410577,4.568635,1
14,0.410577,0.410577,4.568635,1
15,0.410577,0.410577,4.568635,1
16,0.410577,0.410577,4.568635,1
17,0.410577,0.410577,4.568635,1
18,0.410577,0.410577,4.568635,1
19,0.410577,0.410577,4.568635,1
20,0.410577,0.410577,4.568635,1
21,0.410577,0.410577,4.568635,1
22,0.410577,0.410577,4.568635,1
23,0.410577,0.410577,4.568635,1
24,0.410577,0.410577,4.568635,1
25,0.410577,0.410577,4.568635,1
26,0.410577,0.410577,4.568635,1
27,0.410577,0.410577,4.568635,1
28,0.410577,0.410577,4.568635,1
29,0.410577,0.410577,4.568635,1
30,0.410577,0.410577,4.568635,1
31,0.410577,0.410577,4.568635,1
32,0.410577,0.410577,4.568635,1
33,0.410577,0.410577,4.568635,1
34,0.410609,0.410609,4.568357,1
35,0.410609,0.410609,4.568357,1
36,0.410533,0.410533,4.569771,1
37,0.410724,0.410724,4.566152,1
38,0.410754,0.410754,4.565228,1
39,0.410745,0.410745,4.565349,1
40,0.410565,0.410565,4.571209,1
41,0.410336,0.410336,4.575619,1
42,0.410164,0.410164,4.577958,1
43,0.410594,0.410594,4.569077,1
44,0.410896,0.410896,4.563158,1
45,0.410945,0.410945,4.562431,1
46,0.410945,0.410945,4.562431,1
47,0.410945,0.410945,4.562431,1
48,0.410945,0.410945,4.562431,1
49,0.410945,0.410945,4.562431,1
50,0.410945,0.410945,4.562431,1
51,0.410898,0.410898,4.563086,1
52,0.41091,0.41091,4.563392,1
53,0.410931,0.410931,4.563205,1
54,0.411011,0.411011,4.561409,1
55,0.411014,0.411014,4.561589,1
56,0.41095,0.41095,4.56299,1
57,0.410794,0.410794,4.56758,1
58,0.410791,0.410791,4.568016,1
59,0.410857,0.410857,4.566581,1
60,0.41115,0.41115,4.560992,1
61,0.411081,0.411081,4.562777,1
62,0.410899,0.410899,4.565592,1
63,0.410997,0.410997,4.565907,1
64,0.410838,0.410838,4.569803,1
65,0.409309,0.409309,4.611793,1
66,0.408498,0.408498,4.641756,1
67,0.407835,0.407835,4.654568,1
68,0.407162,0.407162,4.676672,1
69,0.407025,0.407025,4.678024,1
70,0.406468,0.406468,4.724727,1
71,0.406256,0.406256,4.730454,1
72,0.405931,0.405931,4.773764,1
73,0.407562,0.407562,4.744939,1
74,0.410991,0.410991,4.632898,1
75,0.416875,0.416875,4.398701,1
76,0.417288,0.417288,4.359612,1
77,0.416313,0.416313,4.393226,1
78,0.419911,0.419911,4.304033,1
79,0.417268,0.417268,4.367283,1
80,0.419061,0.419061,4.314515,1
81,0.418033,0.418033,4.351891,1
82,0.418512,0.418512,4.338496,1
83,0.415543,0.415543,4.416662,1
84,0.417674,0.417674,4.417348,1
85,0.411066,0.411066,4.570238,1
86,0.410803,0.410803,4.635627,1
87,0.406595,0.406595,4.729772,1
88,0.404578,0.404578,4.849861,1
89,0.403712,0.403712,4.861574,1
90,0.400923,0.400923,4.983558,1
91,0.399937,0.399937,4.989796,1
92,0.398428,0.398428,5.09364,1
93,0.398369,0.398369,5.058832,1
94,0.3983,0.3983,5.054255,1
95,0.400203,0.400203,4.986027,1
96,0.403026,0.403026,4.945689,1
97,0.405724,0.405724,4.901459,1
98,0.407719,0.407719,4.717737,1
99,0.41142,0.41142,4.542641,1
100,0.41125,0.41125,4.554259,1
101,0.412151,0.412151,4.516776,1
102,0.41631,0.41631,4.416539,1
103,0.418202,0.418202,4.365312,1
104,0.417046,0.417046,4.409279,1
105,0.419319,0.419319,4.365373,1
106,0.417989,0.417989,4.382713,1
107,0.418643,0.418643,4.391375,1
108,0.416609,0.416609,4.409373,1
109,0.418413,0.418413,4.404175,1
110,0.418729,0.418729,4.374338,1
111,0.418726,0.418726,4.388411,1
112,0.417146,0.417146,4.404305,1
113,0.418727,0.418727,4.391079,1
114,0.417557,0.417557,4.41066,1
115,0.418768,0.418768,4.394979,1
116,0.417552,0.417552,4.415869,1
117,0.419771,0.419771,4.369569,1
118,0.418198,0.418198,4.413325,1
119,0.420924,0.420924,4.365365,1
120,0.418344,0.418344,4.434287,1
121,0.418073,0.418073,4.468338,1
122,0.415997,0.415997,4.533636,1
123,0.414529,0.414529,4.599447,1
124,0.414261,0.414261,4.651437,1
125,0.411713,0.411713,4.729722,1
126,0.409886,0.409886,4.804111,1
127,0.40712,0.40712,4.903347,1
128,0.405685,0.405685,4.953755,1
129,0.401019,0.401019,5.075665,1
130,0.398112,0.398112,5.153801,1
131,0.395346,0.395346,5.191477,1
132,0.392578,0.392578,5.237744,1
133,0.391727,0.391727,5.245089,1
134,0.390036,0.390036,5.258708,1
135,0.388542,0.388542,5.278018,1
136,0.387146,0.387146,5.283391,1
137,0.384906,0.384906,5.326353,1
138,0.383983,0.383983,5.324789,1
139,0.384241,0.384241,5.301857,1
140,0.385892,0.385892,5.264151,1
141,0.387221,0.387221,5.224648,1
142,0.389085,0.389085,5.182945,1
143,0.390634,0.390634,5.151685,1
144,0.392297,0.392297,5.118397,1
145,0.395187,0.395187,5.03572,1
146,0.397615,0.397615,4.958038,1
147,0.398685,0.398685,4.910583,1
148,0.403856,0.403856,4.758675,1
149,0.408553,0.408553,4.636659,1
150,0.411061,0.411061,4.577651,1
151,0.410994,0.410994,4.579705,1
152,0.411264,0.411264,4.567888,1
153,0.411191,0.411191,4.565944,1
154,0.411398,0.411398,4.56646,1
155,0.411293,0.411293,4.567003,1
156,0.411139,0.411139,4.570301,1
157,0.410962,0.410962,4.568775,1
158,0.41098,0.41098,4.568927,1
159,0.411011,0.411011,4.566667,1
160,0.410965,0.410965,4.568491,1
161,0.411043,0.411043,4.567221,1
162,0.410994,0.410994,4.568393,1
163,0.411011,0.411011,4.566667,1
164,0.41096,0.41096,4.568536,1
165,0.411047,0.411047,4.567176,1
166,0.410994,0.410994,4.568393,1
167,0.411006,0.411006,4.566711,1
168,0.410965,0.410965,4.568491,1
169,0.411047,0.411047,4.567176,1
170,0.410989,0.410989,4.568438,1
171,0.411011,0.411011,4.566667,1
172,0.410965,0.410965,4.568491,1
173,0.411043,0.411043,4.567221,1
174,0.410994,0.410994,4.568393,1
175,0.411011,0.411011,4.566667,1
176,0.41096,0.41096,4.568536,1
177,0.410056,0.410056,4.59057,1
178,0.4089,0.4089,4.623707,1
179,0.408357,0.408357,4.644686,1
180,0.407742,0.407742,4.6509,1
181,0.406799,0.406799,4.69975,1
182,0.406747,0.406747,4.706921,1
183,0.406119,0.406119,4.76352,1
184,0.405858,0.405858,4.756188,1
185,0.406154,0.406154,4.788414,1
186,0.41241,0.41241,4.589996,1
187,0.411635,0.411635,4.60118,1
188,0.418501,0.418501,4.357494,1
189,0.416589,0.416589,4.391796,1
190,0.418733,0.418733,4.327706,1
191,0.416956,0.416956,4.35888,1
