Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.57139,0.57139,-2.312083,0
11,0.564313,0.564313,-2.015393,0
12,0.555412,0.555412,-1.647794,0
13,0.546461,0.546462,-1.267853,0
14,0.535149,0.535149,-0.812053,0
15,0.52388,0.52388,-0.342632,0
16,0.51024,0.51024,0.19289,1
17,0.498177,0.498177,0.708299,1
18,0.480927,0.480927,1.322134,1
19,0.469377,0.469377,1.855955,1
20,0.451846,0.451846,2.49895,1
21,0.448914,0.448914,2.736679,1
22,0.450635,0.450635,2.968868,1
23,0.443182,0.443182,3.376937,1
24,0.43195,0.43195,3.82769,1
25,0.421614,0.421614,4.289824,1
26,0.408817,0.408817,4.71244,1
27,0.407719,0.407719,4.870544,1
28,0.405244,0.405244,4.933894,1
29,0.409848,0.409848,4.900163,1
30,0.410287,0.410287,4.784431,1
