Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.552884,0.552884,-1.911664,0
11,0.542552,0.542552,-1.573645,0
12,0.54032,0.54032,-1.296594,0
13,0.522162,0.522162,-0.905927,0
14,0.523813,0.523813,-0.597311,0
15,0.523671,0.523671,-0.382768,0
16,0.510234,0.510234,-0.089055,0
17,0.494478,0.494478,0.426242,1
18,0.498697,0.498697,0.501646,1
19,0.481947,0.481947,0.999378,1
20,0.489137,0.489137,1.040278,1
21,0.484842,0.484842,1.311307,1
22,0.476381,0.476381,1.5765,1
23,0.468742,0.468742,1.964485,1
24,0.460982,0.460982,2.230708,1
25,0.449979,0.449979,2.574054,1
26,0.456552,0.456552,2.699688,1
27,0.443678,0.443678,2.977367,1
28,0.43826,0.43826,3.194141,1
29,0.437602,0.437602,3.316875,1
30,0.445769,0.445769,3.374783,1
