Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.436777,0.436777,3.990463,1
11,0.436777,0.436777,3.990463,1
12,0.436777,0.436777,3.990463,1
13,0.436777,0.436777,3.990463,1
14,0.436777,0.436777,3.990463,1
15,0.436777,0.436777,3.990463,1
16,0.436777,0.436777,3.990463,1
17,0.436777,0.436777,3.990463,1
18,0.436777,0.436777,3.990463,1
19,0.436777,0.436777,3.990463,1
20,0.436777,0.436777,3.990463,1
21,0.436777,0.436777,3.990463,1
22,0.436777,0.436777,3.990463,1
23,0.436777,0.436777,3.990463,1
24,0.436777,0.436777,3.990463,1
25,0.436777,0.436777,3.990463,1
26,0.436777,0.436777,3.990463,1
27,0.436777,0.436777,3.990463,1
28,0.436777,0.436777,3.990463,1
29,0.436777,0.436777,3.990463,1
30,0.436777,0.436777,3.990463,1
31,0.436777,0.436777,3.990463,1
32,0.436777,0.436777,3.990463,1
33,0.436777,0.436777,3.990463,1
34,0.436777,0.436777,3.990463,1
35,0.436777,0.436777,3.990463,1
36,0.436784,0.436784,3.990239,1
37,0.4368,0.4368,3.990109,1
38,0.436798,0.436798,3.99012,1
39,0.436795,0.436795,3.990158,1
40,0.436832,0.436832,3.990098,1
41,0.436832,0.436832,3.990098,1
42,0.43683,0.43683,3.989846,1
43,0.43683,0.43683,3.989846,1
44,0.436818,0.436818,3.990004,1
45,0.436818,0.436818,3.990004,1
46,0.436818,0.436818,3.990004,1
47,0.436818,0.436818,3.990004,1
48,0.436818,0.436818,3.990004,1
49,0.436818,0.436818,3.990004,1
50,0.436818,0.436818,3.990004,1
51,0.436818,0.436818,3.990004,1
52,0.436818,0.436818,3.990004,1
53,0.436818,0.436818,3.990004,1
54,0.436818,0.436818,3.990004,1
55,0.436818,0.436818,3.990004,1
56,0.436818,0.436818,3.990004,1
57,0.436818,0.436818,3.990004,1
58,0.436818,0.436818,3.990004,1
59,0.436818,0.436818,3.990004,1
60,0.436807,0.436807,3.99025,1
61,0.436801,0.436801,3.990499,1
62,0.436819,0.436819,3.990396,1
63,0.436798,0.436798,3.990681,1
64,0.436809,0.436809,3.990597,1
65,0.436795,0.436795,3.990819,1
66,0.436781,0.436781,3.991088,1
67,0.436818,0.436818,3.990863,1
68,0.436821,0.436821,3.990882,1
69,0.436815,0.436815,3.990988,1
70,0.436818,0.436818,3.991217,1
71,0.436815,0.436815,3.990988,1
72,0.436815,0.436815,3.990988,1
73,0.436815,0.436815,3.990988,1
74,0.436815,0.436815,3.990988,1
75,0.436815,0.436815,3.990988,1
76,0.436815,0.436815,3.990988,1
77,0.436815,0.436815,3.990988,1
78,0.436815,0.436815,3.990988,1
79,0.436815,0.436815,3.990988,1
80,0.436815,0.436815,3.990988,1
81,0.436815,0.436815,3.990988,1
82,0.436815,0.436815,3.990988,1
83,0.436815,0.436815,3.990988,1
84,0.436815,0.436815,3.990988,1
85,0.436815,0.436815,3.990988,1
86,0.436815,0.436815,3.990988,1
87,0.436815,0.436815,3.990988,1
88,0.436815,0.436815,3.990988,1
89,0.436815,0.436815,3.990988,1
90,0.436815,0.436815,3.990988,1
91,0.436815,0.436815,3.990988,1
92,0.436815,0.436815,3.990988,1
93,0.436815,0.436815,3.990988,1
94,0.436815,0.436815,3.990988,1
95,0.436815,0.436815,3.990988,1
96,0.436697,0.436697,3.992649,1
97,0.436815,0.436815,3.990988,1
98,0.43658,0.43658,3.994309,1
99,0.436815,0.436815,3.990988,1
100,0.436462,0.436462,3.995969,1
101,0.436647,0.436647,3.993945,1
102,0.436227,0.436227,3.99929,1
103,0.43653,0.43653,3.995605,1
104,0.435992,0.435992,4.00261,1
105,0.436412,0.436412,3.997265,1
106,0.436462,0.436462,3.995969,1
107,0.436295,0.436295,3.998925,1
108,0.436227,0.436227,3.99929,1
109,0.43606,0.43606,4.002245,1
110,0.435992,0.435992,4.00261,1
111,0.436511,0.436511,3.996676,1
112,0.43638,0.43638,3.999515,1
113,0.43632,0.43632,4.001096,1
114,0.43615,0.43615,4.004982,1
115,0.436118,0.436118,4.005725,1
116,0.435858,0.435858,4.011886,1
117,0.435672,0.435672,4.015875,1
118,0.435789,0.435789,4.017162,1
119,0.435336,0.435336,4.026362,1
120,0.435222,0.435222,4.034157,1
121,0.435027,0.435027,4.035749,1
122,0.435002,0.435002,4.043559,1
123,0.434569,0.434569,4.050084,1
124,0.434273,0.434273,4.06946,1
125,0.433757,0.433757,4.07413,1
126,0.433846,0.433846,4.091053,1
127,0.433235,0.433235,4.092113,1
128,0.432964,0.432964,4.11649,1
129,0.432701,0.432701,4.114826,1
130,0.432639,0.432639,4.132583,1
131,0.432376,0.432376,4.127831,1
132,0.431799,0.431799,4.148139,1
133,0.430914,0.430914,4.175634,1
134,0.428712,0.428712,4.251523,1
135,0.427139,0.427139,4.297006,1
136,0.425812,0.425812,4.333253,1
137,0.425262,0.425262,4.343869,1
138,0.424271,0.424271,4.366841,1
139,0.422687,0.422687,4.413994,1
140,0.421939,0.421939,4.41131,1
141,0.421065,0.421065,4.437148,1
142,0.42187,0.42187,4.400182,1
143,0.423744,0.423744,4.357513,1
144,0.431001,0.431001,4.118524,1
145,0.436929,0.436929,3.977628,1
146,0.436836,0.436836,3.979023,1
147,0.436714,0.436714,3.981276,1
148,0.436629,0.436629,3.983594,1
149,0.43651,0.43651,3.985809,1
150,0.436452,0.436452,3.987758,1
151,0.436385,0.436385,3.988756,1
152,0.436357,0.436357,3.989458,1
153,0.436342,0.436342,3.989741,1
154,0.436333,0.436333,3.988244,1
155,0.436496,0.436496,3.986778,1
156,0.436766,0.436766,3.981522,1
157,0.436818,0.436818,3.980644,1
158,0.436923,0.436923,3.979129,1
159,0.436986,0.436986,3.976908,1
160,0.436986,0.436986,3.976908,1
161,0.436986,0.436986,3.976908,1
162,0.436986,0.436986,3.976908,1
163,0.436986,0.436986,3.976908,1
164,0.436986,0.436986,3.976908,1
165,0.436986,0.436986,3.976908,1
166,0.436986,0.436986,3.976908,1
167,0.436986,0.436986,3.976908,1
168,0.436986,0.436986,3.976908,1
169,0.436986,0.436986,3.976908,1
170,0.436986,0.436986,3.976908,1
171,0.436986,0.436986,3.976908,1
172,0.436986,0.436986,3.976908,1
173,0.436986,0.436986,3.976908,1
174,0.436986,0.436986,3.976908,1
175,0.436986,0.436986,3.976908,1
176,0.436986,0.436986,3.976908,1
177,0.436986,0.436986,3.976908,1
178,0.436986,0.436986,3.976908,1
179,0.436986,0.436986,3.976908,1
180,0.436986,0.436986,3.976908,1
181,0.436986,0.436986,3.976908,1
182,0.436986,0.436986,3.976908,1
183,0.436986,0.436986,3.976908,1
184,0.436986,0.436986,3.976908,1
185,0.436986,0.436986,3.976908,1
186,0.436986,0.436986,3.976908,1
187,0.436986,0.436986,3.976908,1
188,0.436986,0.436986,3.976908,1
189,0.436986,0.436986,3.976908,1
190,0.436986,0.436986,3.976908,1
191,0.436986,0.436986,3.976908,1
192,0.436986,0.436986,3.976908,1
193,0.436986,0.436986,3.976908,1
194,0.436986,0.436986,3.976908,1
195,0.436986,0.436986,3.976908,1
196,0.436986,0.436986,3.976908,1
197,0.436986,0.436986,3.976908,1
198,0.436986,0.436986,3.976908,1
199,0.436986,0.436986,3.976908,1
200,0.436986,0.436986,3.976908,1
201,0.436986,0.436986,3.976908,1
202,0.436986,0.436986,3.976908,1
203,0.436986,0.436986,3.976908,1
204,0.436986,0.436986,3.976908,1
205,0.436986,0.436986,3.976908,1
206,0.436986,0.436986,3.976908,1
207,0.436986,0.436986,3.976908,1
208,0.436868,0.436868,3.978569,1
209,0.436986,0.436986,3.976908,1
210,0.436751,0.436751,3.980228,1
211,0.436986,0.436986,3.976908,1
212,0.436465,0.436465,3.984845,1
213,0.436868,0.436868,3.978569,1
214,0.43623,0.43623,3.988165,1
215,0.436751,0.436751,3.980228,1
216,0.435995,0.435996,3.991486,1
217,0.436633,0.436633,3.981889,1
218,0.436465,0.436465,3.984845,1
219,0.436516,0.436516,3.983549,1
220,0.43623,0.43623,3.988165,1
221,0.436281,0.436281,3.986869,1
222,0.436751,0.436751,3.980228,1
223,0.436682,0.436682,3.982595,1
224,0.436551,0.436551,3.985435,1
225,0.436491,0.436491,3.987016,1
226,0.43632,0.43632,3.990902,1
227,0.436288,0.436288,3.991645,1
228,0.436029,0.436029,3.997806,1
229,0.435843,0.435843,4.001795,1
230,0.43596,0.43596,4.003082,1
231,0.435507,0.435507,4.012281,1
232,0.435393,0.435393,4.020077,1
233,0.435197,0.435197,4.02167,1
234,0.435176,0.435176,4.030416,1
235,0.434813,0.434813,4.035455,1
236,0.43452,0.43452,4.053843,1
237,0.434161,0.434161,4.060564,1
238,0.434047,0.434047,4.07428,1
239,0.433659,0.433659,4.079836,1
240,0.433072,0.433072,4.100751,1
241,0.433107,0.433107,4.102443,1
