Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.585033,0.585033,-2.852991,0
11,0.580849,0.580849,-2.694575,0
12,0.576901,0.576901,-2.525596,0
13,0.572293,0.572293,-2.329922,0
14,0.567387,0.567387,-2.121227,0
15,0.562073,0.562073,-1.895001,0
16,0.555685,0.555685,-1.641127,0
17,0.547597,0.547597,-1.349471,0
18,0.539716,0.539716,-1.049864,0
19,0.530635,0.530635,-0.737075,0
20,0.521497,0.521497,-0.375317,0
21,0.499141,0.499141,0.49102,1
22,0.482445,0.482445,1.294145,1
23,0.458685,0.458685,2.240497,1
24,0.43651,0.43651,3.10357,1
25,0.415489,0.415489,3.973515,1
26,0.397908,0.397908,4.63345,1
27,0.381645,0.381645,5.03791,1
28,0.359349,0.359349,5.566839,1
29,0.348998,0.348998,6.018545,1
30,0.342892,0.342892,6.303373,1
