Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.403868,0.403868,5.018314,1
11,0.403868,0.403868,5.018314,1
12,0.403868,0.403868,5.018314,1
13,0.403868,0.403868,5.018314,1
14,0.403868,0.403868,5.018314,1
15,0.403868,0.403868,5.018314,1
16,0.403868,0.403868,5.018314,1
17,0.403868,0.403868,5.018314,1
18,0.403868,0.403868,5.018314,1
19,0.403868,0.403868,5.018314,1
20,0.403868,0.403868,5.018314,1
21,0.403868,0.403868,5.018314,1
22,0.403868,0.403868,5.018314,1
23,0.403868,0.403868,5.018314,1
24,0.403868,0.403868,5.018314,1
25,0.403868,0.403868,5.018314,1
26,0.403868,0.403868,5.018314,1
27,0.403868,0.403868,5.018314,1
28,0.403868,0.403868,5.018314,1
29,0.403868,0.403868,5.018314,1
30,0.403868,0.403868,5.018314,1
31,0.403868,0.403868,5.018314,1
32,0.403868,0.403868,5.018314,1
33,0.403868,0.403868,5.018314,1
34,0.403868,0.403868,5.018314,1
35,0.403877,0.403877,5.018335,1
36,0.403894,0.403894,5.018106,1
37,0.40385,0.40385,5.018215,1
38,0.403888,0.403888,5.018262,1
39,0.403806,0.403806,5.018381,1
40,0.403818,0.403818,5.018346,1
41,0.403798,0.403798,5.018959,1
42,0.403838,0.403838,5.018486,1
43,0.403836,0.403836,5.019503,1
44,0.403896,0.403896,5.018975,1
45,0.403896,0.403896,5.018975,1
46,0.403896,0.403896,5.018975,1
47,0.403896,0.403896,5.018975,1
48,0.403896,0.403896,5.018975,1
49,0.403896,0.403896,5.018975,1
50,0.403896,0.403896,5.018975,1
51,0.403905,0.403905,5.018591,1
52,0.403891,0.403891,5.018753,1
53,0.403888,0.403888,5.018942,1
54,0.403877,0.403877,5.018781,1
55,0.403915,0.403915,5.018703,1
56,0.403955,0.403955,5.01897,1
57,0.403987,0.403987,5.018586,1
58,0.404045,0.404045,5.018364,1
59,0.403999,0.403999,5.018239,1
60,0.40401,0.40401,5.019066,1
61,0.403481,0.403481,4.980906,1
62,0.403595,0.403595,4.991786,1
63,0.401382,0.401382,4.975254,1
64,0.403163,0.403163,5.004867,1
65,0.401143,0.401143,4.970617,1
66,0.403076,0.403076,4.993082,1
67,0.40244,0.40244,4.9746,1
68,0.403233,0.403233,4.976086,1
69,0.403781,0.403781,4.979888,1
70,0.404552,0.404552,4.937401,1
71,0.403493,0.403493,4.988058,1
72,0.403151,0.403151,4.982889,1
73,0.405379,0.405379,4.958992,1
74,0.404622,0.404622,4.975416,1
75,0.405092,0.405092,4.965205,1
76,0.404562,0.404562,4.96102,1
77,0.405911,0.405911,4.96129,1
78,0.405188,0.405188,4.947713,1
79,0.405859,0.405859,4.914852,1
80,0.405664,0.405664,4.921513,1
81,0.406459,0.406459,4.898431,1
82,0.406885,0.406885,4.901268,1
83,0.406911,0.406911,4.897695,1
84,0.409158,0.409158,4.620326,1
85,0.416589,0.416589,4.401534,1
86,0.419894,0.419894,4.331683,1
87,0.424107,0.424107,4.262907,1
88,0.425624,0.425624,4.232394,1
89,0.42829,0.42829,4.174249,1
90,0.427811,0.427811,4.178324,1
91,0.427896,0.427896,4.176881,1
92,0.426912,0.426912,4.200293,1
93,0.426375,0.426375,4.207706,1
94,0.4248,0.4248,4.238665,1
95,0.426375,0.426375,4.21628,1
96,0.425357,0.425357,4.233354,1
97,0.426448,0.426448,4.22016,1
98,0.425955,0.425955,4.229734,1
99,0.427844,0.427844,4.209109,1
100,0.425887,0.425887,4.235599,1
101,0.428438,0.428438,4.20036,1
102,0.42589,0.42589,4.242018,1
103,0.42778,0.42778,4.219929,1
104,0.425101,0.425101,4.255794,1
105,0.4269,0.4269,4.236224,1
106,0.425816,0.425816,4.252552,1
107,0.426801,0.426801,4.246494,1
108,0.42681,0.42681,4.246247,1
109,0.425957,0.425957,4.259159,1
110,0.426784,0.426784,4.247476,1
111,0.424971,0.424971,4.283632,1
112,0.427374,0.427374,4.242502,1
113,0.424373,0.424373,4.303277,1
114,0.426208,0.426208,4.268059,1
115,0.42601,0.42601,4.291859,1
116,0.426382,0.426382,4.279107,1
117,0.425169,0.425169,4.316485,1
118,0.425079,0.425079,4.305766,1
119,0.425613,0.425613,4.310362,1
120,0.425877,0.425877,4.315384,1
121,0.426317,0.426317,4.314633,1
122,0.425658,0.425658,4.336502,1
123,0.42603,0.42603,4.338248,1
124,0.425412,0.425412,4.362174,1
125,0.424533,0.424533,4.398042,1
126,0.422159,0.422159,4.439344,1
127,0.418315,0.418315,4.521106,1
128,0.414452,0.414452,4.613263,1
129,0.411179,0.411179,4.678013,1
130,0.407919,0.407919,4.766606,1
131,0.403958,0.403958,4.838606,1
132,0.400571,0.400571,4.925821,1
133,0.398819,0.398819,4.942008,1
134,0.396477,0.396477,5.003202,1
135,0.397118,0.397118,4.948681,1
136,0.400253,0.400253,4.903942,1
137,0.403918,0.403918,4.84699,1
138,0.404779,0.404779,4.847185,1
139,0.406651,0.406651,4.825999,1
140,0.411691,0.411691,4.69574,1
141,0.411659,0.411659,4.707632,1
142,0.40824,0.40824,4.824177,1
143,0.40647,0.40647,4.881591,1
144,0.403329,0.403329,4.970162,1
145,0.403648,0.403648,4.996987,1
146,0.402649,0.402649,4.997129,1
147,0.40351,0.403509,5.030512,1
148,0.403482,0.403482,5.01598,1
149,0.404126,0.404126,5.018349,1
150,0.404126,0.404126,5.018349,1
151,0.404126,0.404126,5.018349,1
152,0.404126,0.404126,5.018349,1
153,0.404126,0.404126,5.018349,1
154,0.404126,0.404126,5.018349,1
155,0.404126,0.404126,5.018349,1
156,0.404126,0.404126,5.018349,1
157,0.404126,0.404126,5.018349,1
158,0.404126,0.404126,5.018349,1
159,0.404126,0.404126,5.018349,1
160,0.404126,0.404126,5.018349,1
161,0.404126,0.404126,5.018349,1
162,0.404126,0.404126,5.018349,1
163,0.404126,0.404126,5.018349,1
164,0.404126,0.404126,5.018349,1
165,0.404126,0.404126,5.018349,1
166,0.404126,0.404126,5.018349,1
167,0.404126,0.404126,5.018349,1
168,0.404126,0.404126,5.018349,1
169,0.404126,0.404126,5.018349,1
170,0.404126,0.404126,5.018349,1
171,0.404126,0.404126,5.018349,1
172,0.403618,0.403618,4.983302,1
173,0.403676,0.403676,4.992115,1
174,0.401292,0.401292,4.971931,1
175,0.403049,0.403049,5.00769,1
176,0.400749,0.400749,4.976581,1
177,0.402715,0.402715,5.006123,1
178,0.40143,0.40143,5.009864,1
179,0.40179,0.40179,5.020154,1
180,0.402596,0.402596,5.019044,1
181,0.404373,0.404373,4.977055,1
182,0.402895,0.402895,5.024313,1
183,0.403372,0.403372,5.029641,1
184,0.404411,0.404411,5.002218,1
185,0.403726,0.403726,5.011067,1
186,0.404768,0.404768,5.004391,1
187,0.404904,0.404904,4.994029,1
188,0.403726,0.403726,4.951844,1
189,0.405597,0.405597,4.931961,1
190,0.406314,0.406314,4.913622,1
191,0.406604,0.406604,4.903282,1
192,0.406886,0.406886,4.86889,1
193,0.406383,0.406383,4.893613,1
194,0.407077,0.407077,4.916578,1
195,0.4069,0.4069,4.835724,1
196,0.412946,0.412946,4.511223,1
197,0.407787,0.407787,4.651166,1
198,0.419798,0.419798,4.331025,1
199,0.423781,0.423781,4.269713,1
200,0.426263,0.426263,4.213738,1
201,0.426715,0.426715,4.192427,1
202,0.428952,0.428952,4.153536,1
203,0.425558,0.425558,4.206598,1
204,0.42883,0.42883,4.166276,1
205,0.423091,0.423091,4.26038,1
206,0.427354,0.427354,4.193426,1
207,0.424324,0.424324,4.247222,1
208,0.427022,0.427022,4.211665,1
209,0.423677,0.423677,4.268969,1
210,0.427692,0.427692,4.205441,1
211,0.423996,0.423996,4.274017,1
212,0.425833,0.425833,4.237161,1
213,0.427451,0.427451,4.216895,1
214,0.426395,0.426395,4.23806,1
215,0.426399,0.426399,4.241178,1
216,0.42603,0.42603,4.249754,1
217,0.427455,0.427455,4.232553,1
218,0.426288,0.426288,4.256989,1
219,0.427359,0.427359,4.234252,1
220,0.425954,0.425954,4.25596,1
221,0.427141,0.427141,4.24496,1
222,0.427393,0.427393,4.245819,1
223,0.427312,0.427312,4.24886,1
224,0.426648,0.426648,4.267051,1
225,0.426683,0.426683,4.270677,1
226,0.425636,0.425636,4.292972,1
227,0.426289,0.426289,4.285556,1
228,0.424878,0.424878,4.321972,1
229,0.425517,0.425517,4.306864,1
230,0.424017,0.424017,4.351758,1
231,0.42661,0.42661,4.312466,1
232,0.423421,0.423421,4.38226,1
233,0.426122,0.426122,4.328104,1
234,0.424458,0.424458,4.374202,1
235,0.423009,0.423009,4.415731,1
236,0.41983,0.41983,4.485073,1
237,0.415784,0.415784,4.577543,1
238,0.41245,0.41245,4.650633,1
239,0.408635,0.408635,4.738939,1
240,0.406012,0.406012,4.807212,1
241,0.402138,0.402138,4.882267,1
242,0.398973,0.398973,4.952865,1
243,0.397112,0.397112,4.98095,1
244,0.394849,0.394849,5.025673,1
245,0.397363,0.397363,4.933414,1
246,0.398936,0.398936,4.918402,1
247,0.402888,0.402888,4.848521,1
248,0.402924,0.402924,4.867468,1
249,0.406253,0.406253,4.81911,1
250,0.410333,0.410333,4.695028,1
251,0.411102,0.411102,4.701063,1
252,0.406538,0.406538,4.833703,1
253,0.405843,0.405843,4.874749,1
254,0.40222,0.40222,4.980048,1
255,0.401952,0.401952,5.017094,1
256,0.402721,0.402721,4.997852,1
257,0.403519,0.403519,5.030127,1
258,0.4036,0.4036,5.015981,1
259,0.404146,0.404146,5.019477,1
260,0.404111,0.404111,5.019921,1
261,0.404076,0.404076,5.019417,1
262,0.404166,0.404166,5.019514,1
263,0.404108,0.404108,5.019956,1
264,0.40414,0.40414,5.020823,1
265,0.4041,0.4041,5.021235,1
266,0.404137,0.404137,5.020889,1
267,0.404124,0.404124,5.02059,1
268,0.404124,0.404124,5.02059,1
269,0.404124,0.404124,5.02059,1
270,0.404124,0.404124,5.02059,1
271,0.404124,0.404124,5.02059,1
272,0.404124,0.404124,5.02059,1
273,0.404124,0.404124,5.02059,1
274,0.404124,0.404124,5.02059,1
275,0.404124,0.404124,5.02059,1
276,0.404124,0.404124,5.02059,1
277,0.404124,0.404124,5.02059,1
278,0.404124,0.404124,5.02059,1
279,0.404124,0.404124,5.02059,1
280,0.404124,0.404124,5.02059,1
281,0.404124,0.404124,5.02059,1
282,0.404124,0.404124,5.02059,1
283,0.404124,0.404124,5.02059,1
