Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.407521,0.407521,4.574348,1
11,0.407521,0.407521,4.574348,1
12,0.407521,0.407521,4.574348,1
13,0.407521,0.407521,4.574348,1
14,0.407521,0.407521,4.574348,1
15,0.407521,0.407521,4.574348,1
16,0.407521,0.407521,4.574348,1
17,0.407521,0.407521,4.574348,1
18,0.407521,0.407521,4.574348,1
19,0.407521,0.407521,4.574348,1
20,0.407521,0.407521,4.574348,1
21,0.407521,0.407521,4.574348,1
22,0.407521,0.407521,4.574348,1
23,0.407521,0.407521,4.574348,1
24,0.407526,0.407526,4.574463,1
25,0.407526,0.407526,4.574463,1
26,0.407545,0.407545,4.573937,1
27,0.407683,0.407683,4.571241,1
28,0.407652,0.407652,4.572007,1
29,0.407622,0.407622,4.573697,1
30,0.407373,0.407373,4.578154,1
31,0.407401,0.407401,4.57782,1
32,0.407481,0.407481,4.57504,1
33,0.407817,0.407817,4.568875,1
34,0.407777,0.407777,4.570431,1
35,0.407784,0.407784,4.570582,1
36,0.407796,0.407796,4.568909,1
37,0.407996,0.407996,4.565099,1
38,0.407996,0.407996,4.565098,1
39,0.407896,0.407896,4.567674,1
40,0.407755,0.407755,4.571626,1
41,0.407729,0.407729,4.572445,1
42,0.407744,0.407744,4.569777,1
43,0.408034,0.408034,4.564085,1
44,0.408034,0.408034,4.564085,1
45,0.408034,0.408034,4.564085,1
46,0.408034,0.408034,4.564085,1
47,0.408034,0.408034,4.564085,1
48,0.408034,0.408034,4.564085,1
49,0.408034,0.408034,4.564085,1
50,0.408034,0.408034,4.564085,1
51,0.408034,0.408034,4.564085,1
52,0.408051,0.408051,4.565468,1
53,0.408131,0.408131,4.563574,1
54,0.408156,0.408156,4.563107,1
55,0.408156,0.408156,4.563107,1
56,0.40786,0.40786,4.567888,1
57,0.407671,0.407671,4.572296,1
58,0.407666,0.407666,4.573903,1
59,0.407945,0.407945,4.567955,1
60,0.40827,0.40827,4.563358,1
61,0.406473,0.406473,4.655665,1
62,0.406639,0.406639,4.653272,1
63,0.405267,0.405267,4.733642,1
64,0.405797,0.405797,4.736135,1
65,0.402834,0.402834,4.83901,1
66,0.402713,0.402713,4.860613,1
67,0.401811,0.401811,4.908353,1
68,0.402184,0.402184,4.890368,1
69,0.401761,0.401761,4.948079,1
70,0.402664,0.402664,4.90785,1
71,0.405048,0.405048,4.830826,1
72,0.404582,0.404582,4.897222,1
73,0.406509,0.406509,4.725831,1
74,0.406392,0.406392,4.907185,1
75,0.405367,0.405367,4.734882,1
76,0.406198,0.406198,4.890754,1
77,0.408919,0.408919,4.616894,1
78,0.408366,0.408366,4.734049,1
79,0.410159,0.410159,4.579611,1
80,0.408003,0.408003,4.701927,1
81,0.410918,0.410918,4.614133,1
82,0.416428,0.416428,4.421002,1
83,0.408659,0.408659,4.710146,1
84,0.414401,0.414401,4.479123,1
85,0.41096,0.41096,4.641822,1
86,0.414757,0.414757,4.499898,1
87,0.407877,0.407877,4.74496,1
88,0.412811,0.412811,4.589036,1
89,0.404108,0.404108,4.84496,1
90,0.408945,0.408945,4.690105,1
91,0.40553,0.40553,4.841689,1
92,0.4076,0.4076,4.721709,1
93,0.406853,0.406853,4.842346,1
94,0.412683,0.412683,4.511065,1
95,0.422028,0.422028,4.290287,1
96,0.422935,0.422936,4.281061,1
97,0.421808,0.421808,4.302099,1
98,0.42435,0.42435,4.258096,1
99,0.425208,0.425208,4.241076,1
100,0.426466,0.426466,4.225613,1
101,0.424843,0.424843,4.249762,1
102,0.427992,0.427992,4.197711,1
103,0.425291,0.425291,4.240198,1
104,0.427435,0.427435,4.207438,1
105,0.424071,0.424071,4.263608,1
106,0.427605,0.427605,4.217974,1
107,0.426038,0.426038,4.245177,1
108,0.426645,0.426645,4.237015,1
109,0.424992,0.424992,4.265867,1
110,0.427466,0.427466,4.230916,1
111,0.424173,0.424173,4.279653,1
112,0.426581,0.426581,4.244954,1
113,0.423474,0.423474,4.29219,1
114,0.425583,0.425583,4.273563,1
115,0.423245,0.423245,4.305332,1
116,0.425803,0.425803,4.271615,1
117,0.423688,0.423688,4.308625,1
118,0.424783,0.424783,4.293051,1
119,0.423532,0.423532,4.317827,1
120,0.424185,0.424185,4.311564,1
121,0.422768,0.422768,4.353357,1
122,0.424458,0.424458,4.316824,1
123,0.419588,0.419588,4.465243,1
124,0.421654,0.421654,4.397139,1
125,0.416597,0.416597,4.580749,1
126,0.417982,0.417982,4.508594,1
127,0.412096,0.412096,4.737083,1
128,0.410883,0.410883,4.707373,1
129,0.404028,0.404028,4.942294,1
130,0.403313,0.403313,4.907417,1
131,0.398482,0.398482,5.086501,1
132,0.397041,0.397041,5.054391,1
133,0.39491,0.39491,5.136448,1
134,0.393018,0.393018,5.15086,1
135,0.391212,0.391212,5.208636,1
136,0.39024,0.390241,5.215741,1
137,0.390338,0.390338,5.195109,1
138,0.392194,0.392194,5.172099,1
139,0.391269,0.391269,5.154494,1
140,0.393402,0.393402,5.109453,1
141,0.394983,0.394983,5.087526,1
142,0.394698,0.394698,5.096924,1
143,0.395703,0.395703,5.053036,1
144,0.393871,0.393871,5.050963,1
145,0.395493,0.395493,5.026273,1
146,0.393198,0.393198,5.035138,1
147,0.396356,0.396356,4.993095,1
148,0.396338,0.396338,5.002514,1
149,0.397772,0.397772,4.920041,1
150,0.397127,0.397127,5.019031,1
151,0.398241,0.398241,4.86701,1
152,0.407843,0.407843,4.566998,1
153,0.407597,0.407597,4.562993,1
154,0.40771,0.40771,4.558487,1
155,0.407574,0.407574,4.564229,1
156,0.408197,0.408197,4.546672,1
157,0.408125,0.408125,4.550753,1
158,0.408107,0.408107,4.549277,1
159,0.408107,0.408107,4.549277,1
160,0.408107,0.408107,4.549277,1
161,0.408107,0.408107,4.549277,1
162,0.408107,0.408107,4.549277,1
163,0.408107,0.408107,4.549277,1
164,0.408107,0.408107,4.549277,1
165,0.408107,0.408107,4.549277,1
166,0.408107,0.408107,4.549277,1
167,0.408107,0.408107,4.549277,1
168,0.408107,0.408107,4.549277,1
169,0.408107,0.408107,4.549277,1
170,0.408107,0.408107,4.549277,1
171,0.408107,0.408107,4.549277,1
172,0.408107,0.408107,4.549277,1
173,0.407639,0.407639,4.571358,1
174,0.40696,0.40696,4.641834,1
175,0.407918,0.407918,4.607387,1
176,0.406067,0.406067,4.723229,1
177,0.405698,0.405698,4.701324,1
178,0.403296,0.403296,4.835699,1
179,0.403368,0.403368,4.818341,1
180,0.402383,0.402383,4.895213,1
181,0.405109,0.405109,4.838836,1
182,0.403764,0.403764,4.910887,1
183,0.404993,0.404993,4.82891,1
184,0.40453,0.40453,4.899849,1
185,0.406554,0.406554,4.726007,1
186,0.4062,0.4062,4.909688,1
187,0.405417,0.405417,4.734336,1
188,0.40605,0.40605,4.892193,1
189,0.408934,0.408934,4.618964,1
190,0.408243,0.408243,4.735898,1
191,0.410245,0.410245,4.57695,1
192,0.408058,0.408058,4.704529,1
193,0.410989,0.410989,4.611667,1
194,0.416374,0.416374,4.421313,1
195,0.408688,0.408688,4.707731,1
196,0.414499,0.414499,4.478441,1
197,0.411002,0.411002,4.639364,1
198,0.414717,0.414717,4.500625,1
199,0.407932,0.407932,4.74265,1
200,0.412775,0.412775,4.589749,1
201,0.404269,0.404269,4.842471,1
202,0.409023,0.409023,4.693236,1
203,0.405583,0.405583,4.841332,1
204,0.407477,0.407477,4.728045,1
205,0.406882,0.406882,4.840171,1
