Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.430411,0.430411,3.57992,1
11,0.430411,0.430411,3.57992,1
12,0.430411,0.430411,3.57992,1
13,0.430411,0.430411,3.57992,1
14,0.430411,0.430411,3.57992,1
15,0.430411,0.430411,3.57992,1
16,0.430411,0.430411,3.57992,1
17,0.430411,0.430411,3.57992,1
18,0.430411,0.430411,3.57992,1
19,0.430411,0.430411,3.57992,1
20,0.430411,0.430411,3.57992,1
21,0.430411,0.430411,3.57992,1
22,0.430411,0.430411,3.57992,1
23,0.430411,0.430411,3.57992,1
24,0.430411,0.430411,3.57992,1
25,0.430411,0.430411,3.57992,1
26,0.430411,0.430411,3.57992,1
27,0.430411,0.430411,3.57992,1
28,0.430411,0.430411,3.57992,1
29,0.430411,0.430411,3.57992,1
30,0.430411,0.430411,3.57992,1
31,0.430411,0.430411,3.57992,1
32,0.430411,0.430411,3.57992,1
33,0.430411,0.430411,3.57992,1
34,0.430411,0.430411,3.57992,1
35,0.430411,0.430411,3.57992,1
36,0.430411,0.430411,3.57992,1
37,0.430411,0.430411,3.57992,1
38,0.430411,0.430411,3.57992,1
39,0.430411,0.430411,3.57992,1
40,0.430411,0.430411,3.57992,1
41,0.430411,0.430411,3.57992,1
42,0.430411,0.430411,3.57992,1
43,0.430411,0.430411,3.57992,1
44,0.430411,0.430411,3.57992,1
45,0.430411,0.430411,3.57992,1
46,0.430411,0.430411,3.57992,1
47,0.430411,0.430411,3.57992,1
48,0.430411,0.430411,3.57992,1
49,0.430411,0.430411,3.57992,1
50,0.430411,0.430411,3.57992,1
51,0.430423,0.430423,3.57991,1
52,0.430428,0.430428,3.580447,1
53,0.430425,0.430425,3.580328,1
54,0.429491,0.429491,3.596079,1
55,0.428961,0.428961,3.611696,1
56,0.428302,0.428302,3.632103,1
57,0.42785,0.42785,3.655638,1
58,0.427002,0.427002,3.676712,1
59,0.426414,0.426415,3.700424,1
60,0.425464,0.425464,3.727262,1
61,0.424916,0.424916,3.752602,1
62,0.423886,0.423886,3.787265,1
63,0.423198,0.423198,3.810023,1
64,0.422697,0.422697,3.830321,1
65,0.42234,0.42234,3.837718,1
66,0.422192,0.422192,3.85545,1
67,0.422012,0.422012,3.862759,1
68,0.421727,0.421727,3.882219,1
69,0.421553,0.421553,3.886164,1
70,0.421089,0.421089,3.901513,1
71,0.42076,0.42076,3.909182,1
72,0.420409,0.420409,3.919983,1
73,0.420297,0.420297,3.922899,1
74,0.420164,0.420164,3.929249,1
75,0.420059,0.420059,3.932209,1
76,0.419981,0.419981,3.935577,1
77,0.419827,0.419827,3.93524,1
78,0.419963,0.419963,3.931258,1
79,0.420047,0.420047,3.927394,1
80,0.420656,0.420656,3.916048,1
81,0.420703,0.420703,3.91142,1
82,0.420975,0.420975,3.903993,1
83,0.420689,0.420689,3.899981,1
84,0.420726,0.420726,3.891185,1
85,0.42106,0.42106,3.88609,1
86,0.421175,0.421175,3.882175,1
87,0.421327,0.421327,3.882974,1
88,0.421327,0.421327,3.882519,1
89,0.421373,0.421373,3.884473,1
90,0.421304,0.421304,3.886234,1
91,0.421083,0.421083,3.891311,1
92,0.420979,0.420979,3.89497,1
93,0.420857,0.420857,3.90113,1
94,0.420792,0.420792,3.902555,1
95,0.420662,0.420662,3.906097,1
96,0.420613,0.420613,3.907364,1
97,0.420476,0.420476,3.911302,1
98,0.420396,0.420396,3.915508,1
99,0.420479,0.420479,3.917241,1
100,0.420355,0.420355,3.919401,1
101,0.420296,0.420296,3.921584,1
102,0.420134,0.420134,3.927556,1
103,0.419914,0.419914,3.931604,1
104,0.419798,0.419798,3.936578,1
105,0.419736,0.419736,3.94285,1
106,0.419679,0.419679,3.946977,1
107,0.419432,0.419432,3.95516,1
108,0.419331,0.419331,3.959196,1
109,0.418935,0.418935,3.968457,1
110,0.418852,0.418852,3.97601,1
111,0.418681,0.418681,3.985705,1
112,0.418599,0.418599,3.997969,1
113,0.418283,0.418283,4.010531,1
114,0.41799,0.41799,4.022827,1
115,0.417415,0.417415,4.036942,1
116,0.416985,0.416985,4.055742,1
117,0.416479,0.416479,4.082208,1
