Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.469281,0.469281,3.10463,1
11,0.474721,0.474721,3.017899,1
12,0.466519,0.466519,3.117025,1
13,0.474599,0.474599,2.89759,1
14,0.468111,0.468111,2.896863,1
15,0.480281,0.480281,2.512361,1
16,0.477463,0.477463,2.386737,1
17,0.488551,0.488551,1.976592,1
18,0.491032,0.491032,1.68441,1
19,0.504253,0.504253,1.187674,1
20,0.50965,0.50965,0.818871,1
21,0.521193,0.521193,0.313218,1
22,0.527908,0.527908,-0.064009,0
23,0.537364,0.537364,-0.492258,0
24,0.544046,0.544046,-0.844625,0
25,0.55244,0.55244,-1.2248,0
26,0.557021,0.557021,-1.500678,0
27,0.56586,0.56586,-1.860178,0
28,0.570193,0.570193,-2.097011,0
29,0.577299,0.5773,-2.393563,0
30,0.581738,0.581738,-2.600734,0
