Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.436002,0.436002,4.010295,1
11,0.436002,0.436002,4.010295,1
12,0.436002,0.436002,4.010295,1
13,0.436002,0.436002,4.010295,1
14,0.436002,0.436002,4.010295,1
15,0.436002,0.436002,4.010295,1
16,0.436002,0.436002,4.010295,1
17,0.436002,0.436002,4.010295,1
18,0.436002,0.436002,4.010295,1
19,0.436002,0.436002,4.010295,1
20,0.436002,0.436002,4.010295,1
21,0.436002,0.436002,4.010295,1
22,0.436002,0.436002,4.010295,1
23,0.436002,0.436002,4.010295,1
24,0.436002,0.436002,4.010295,1
25,0.436002,0.436002,4.010295,1
26,0.436002,0.436002,4.010295,1
27,0.436002,0.436002,4.010295,1
28,0.436002,0.436002,4.010295,1
29,0.436002,0.436002,4.010295,1
30,0.436002,0.436002,4.010295,1
31,0.436002,0.436002,4.010295,1
32,0.436002,0.436002,4.010295,1
33,0.436002,0.436002,4.010295,1
34,0.436002,0.436002,4.010295,1
35,0.436002,0.436002,4.010295,1
36,0.436009,0.436009,4.009975,1
37,0.436009,0.436009,4.009975,1
38,0.436035,0.436035,4.009653,1
39,0.436003,0.436003,4.009824,1
40,0.43602,0.43602,4.009728,1
41,0.43602,0.43602,4.009728,1
42,0.436053,0.436053,4.009448,1
43,0.435809,0.435809,4.013351,1
44,0.435732,0.435732,4.015651,1
45,0.435439,0.435439,4.019019,1
46,0.435345,0.435345,4.024376,1
47,0.435051,0.435051,4.029513,1
48,0.434781,0.434781,4.039996,1
49,0.434309,0.434309,4.04793,1
50,0.434033,0.434033,4.059003,1
51,0.43354,0.43354,4.064076,1
52,0.433221,0.433221,4.078752,1
53,0.433473,0.433473,4.069353,1
54,0.43297,0.43297,4.08832,1
55,0.432845,0.432845,4.08101,1
56,0.432353,0.432353,4.099914,1
57,0.433514,0.433514,4.063824,1
58,0.434201,0.434201,4.048828,1
59,0.434615,0.434615,4.042235,1
60,0.434232,0.434232,4.048933,1
61,0.434613,0.434613,4.038494,1
62,0.434555,0.434555,4.042397,1
63,0.434756,0.434756,4.035457,1
64,0.43441,0.43441,4.044858,1
65,0.43434,0.43434,4.04339,1
