Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.429112,0.429112,4.099821,1
11,0.429112,0.429112,4.099821,1
12,0.429112,0.429112,4.099821,1
13,0.429112,0.429112,4.099821,1
14,0.429112,0.429112,4.099821,1
15,0.429112,0.429112,4.099821,1
16,0.429112,0.429112,4.099821,1
17,0.429112,0.429112,4.099821,1
18,0.429112,0.429112,4.099821,1
19,0.429112,0.429112,4.099821,1
20,0.429112,0.429112,4.099821,1
21,0.429112,0.429112,4.099821,1
22,0.429112,0.429112,4.099821,1
23,0.429112,0.429112,4.099821,1
24,0.429112,0.429112,4.099821,1
25,0.429112,0.429112,4.099821,1
26,0.429349,0.429349,4.094498,1
27,0.429349,0.429349,4.094498,1
28,0.429349,0.429349,4.094498,1
29,0.42892,0.42892,4.10293,1
30,0.428897,0.428897,4.10389,1
31,0.428897,0.428897,4.10389,1
32,0.429373,0.429373,4.0923,1
33,0.429373,0.429373,4.0923,1
34,0.429402,0.429402,4.093023,1
35,0.429298,0.429298,4.094517,1
36,0.429236,0.429236,4.095945,1
37,0.429132,0.429132,4.097596,1
38,0.428886,0.428886,4.101664,1
39,0.428651,0.428651,4.106425,1
40,0.428683,0.428683,4.107223,1
41,0.428635,0.428635,4.109218,1
42,0.429013,0.429013,4.104049,1
43,0.42894,0.42894,4.105322,1
44,0.428851,0.428851,4.107194,1
45,0.428851,0.428851,4.107194,1
46,0.428851,0.428851,4.107194,1
47,0.428851,0.428851,4.107194,1
48,0.428851,0.428851,4.107194,1
49,0.428851,0.428851,4.107194,1
50,0.428851,0.428851,4.107194,1
51,0.428851,0.428851,4.107194,1
52,0.428821,0.428821,4.107911,1
53,0.428821,0.428821,4.107911,1
54,0.426634,0.426634,4.159194,1
55,0.423788,0.423788,4.281566,1
56,0.421519,0.421519,4.333347,1
57,0.418485,0.418485,4.460391,1
58,0.415356,0.415356,4.537018,1
59,0.411795,0.411795,4.672481,1
60,0.40925,0.40925,4.75895,1
61,0.407143,0.407143,4.858721,1
62,0.405548,0.405548,4.917702,1
63,0.402476,0.402476,5.02962,1
64,0.40161,0.40161,5.060251,1
65,0.402084,0.402084,5.052306,1
66,0.401302,0.401302,5.067904,1
67,0.401619,0.401619,5.070284,1
68,0.399783,0.399783,5.060137,1
69,0.400575,0.400575,5.06685,1
70,0.401393,0.401393,5.056276,1
71,0.400409,0.400409,5.069614,1
72,0.400792,0.400792,5.055248,1
73,0.400075,0.400075,5.080019,1
74,0.400369,0.400369,5.063937,1
75,0.400073,0.400073,5.055268,1
76,0.402158,0.402158,5.03969,1
77,0.4017,0.4017,5.041537,1
78,0.401862,0.401862,5.029397,1
79,0.4028,0.4028,5.016938,1
80,0.403056,0.403056,5.001641,1
81,0.403398,0.403398,4.984993,1
82,0.404616,0.404616,4.986137,1
83,0.405641,0.405641,4.948603,1
84,0.404602,0.404602,4.972548,1
85,0.405916,0.405916,4.959136,1
86,0.404825,0.404825,4.943459,1
87,0.405807,0.405807,4.919437,1
88,0.405481,0.405481,4.92145,1
89,0.405055,0.405055,4.947811,1
90,0.404707,0.404707,4.965769,1
91,0.404967,0.404967,4.936657,1
92,0.404761,0.404761,4.959508,1
93,0.404713,0.404713,4.962213,1
94,0.404454,0.404454,4.963305,1
95,0.404631,0.404631,4.961667,1
96,0.405786,0.405786,4.956127,1
97,0.404947,0.404947,4.921284,1
98,0.405457,0.405457,4.947641,1
99,0.405115,0.405115,4.920885,1
100,0.405685,0.405685,4.8972,1
101,0.404932,0.404932,4.947691,1
102,0.404425,0.404425,4.933665,1
103,0.405142,0.405142,4.931682,1
104,0.404793,0.404793,4.903785,1
105,0.405547,0.405547,4.923847,1
106,0.40484,0.40484,4.891867,1
107,0.406044,0.406044,4.790064,1
108,0.405994,0.405994,4.879646,1
109,0.406696,0.406696,4.663299,1
110,0.415907,0.415907,4.456581,1
111,0.417386,0.417386,4.427946,1
112,0.421278,0.421278,4.298299,1
113,0.423894,0.423894,4.264905,1
114,0.426344,0.426344,4.188082,1
115,0.427017,0.427017,4.189812,1
116,0.427773,0.427772,4.172697,1
117,0.425453,0.425453,4.216259,1
118,0.426732,0.426732,4.189407,1
119,0.426367,0.426367,4.185017,1
120,0.426416,0.426416,4.186556,1
121,0.42643,0.42643,4.171503,1
122,0.424373,0.424373,4.225654,1
123,0.428506,0.428506,4.129416,1
124,0.425674,0.425674,4.193211,1
125,0.427452,0.427452,4.155248,1
126,0.423926,0.423926,4.211103,1
127,0.426082,0.426082,4.173785,1
128,0.424786,0.424786,4.186418,1
129,0.429588,0.429588,4.100198,1
130,0.427005,0.427005,4.145072,1
131,0.430617,0.430617,4.088155,1
132,0.426932,0.426932,4.156534,1
133,0.430862,0.430862,4.086969,1
134,0.426279,0.426279,4.178833,1
135,0.4299,0.4299,4.106034,1
136,0.429837,0.429837,4.11542,1
137,0.427315,0.427315,4.1581,1
138,0.427681,0.427681,4.157525,1
139,0.424182,0.424182,4.214956,1
140,0.424673,0.424673,4.216609,1
141,0.422394,0.422394,4.261785,1
142,0.423451,0.423451,4.247454,1
143,0.422092,0.422092,4.267691,1
144,0.4248,0.4248,4.199319,1
145,0.427228,0.427228,4.153101,1
146,0.427879,0.427879,4.13766,1
147,0.428787,0.428787,4.123685,1
148,0.428966,0.428966,4.121606,1
149,0.429591,0.429591,4.109449,1
150,0.430351,0.430351,4.094948,1
151,0.431758,0.431758,4.075098,1
152,0.429448,0.429448,4.115006,1
153,0.431874,0.431874,4.066786,1
154,0.430278,0.430278,4.105038,1
155,0.43112,0.43112,4.088234,1
156,0.428578,0.428578,4.135863,1
157,0.429237,0.429237,4.118448,1
158,0.426848,0.426848,4.16177,1
159,0.427956,0.427956,4.137893,1
160,0.426695,0.426695,4.149734,1
161,0.427798,0.427798,4.133561,1
162,0.428763,0.428763,4.107282,1
163,0.428624,0.428624,4.127984,1
164,0.429788,0.429788,4.089125,1
165,0.428261,0.428261,4.126021,1
166,0.431071,0.431071,4.074815,1
167,0.42957,0.42957,4.099033,1
168,0.431755,0.431755,4.059391,1
169,0.429587,0.429587,4.096886,1
170,0.430951,0.430951,4.074398,1
171,0.429251,0.429251,4.101,1
172,0.429251,0.429251,4.101,1
173,0.429251,0.429251,4.101,1
174,0.429251,0.429251,4.101,1
175,0.429251,0.429251,4.101,1
