Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.423851,0.423851,4.190401,1
11,0.423851,0.423851,4.190401,1
12,0.423851,0.423851,4.190401,1
13,0.423851,0.423851,4.190401,1
14,0.423851,0.423851,4.190401,1
15,0.423851,0.423851,4.190401,1
16,0.423851,0.423851,4.190401,1
17,0.423851,0.423851,4.190401,1
18,0.423851,0.423851,4.190401,1
19,0.423851,0.423851,4.190401,1
20,0.423851,0.423851,4.190401,1
21,0.423851,0.423851,4.190401,1
22,0.423851,0.423851,4.190401,1
23,0.423851,0.423851,4.190401,1
24,0.423851,0.423851,4.190401,1
25,0.42383,0.42383,4.1914,1
26,0.4243,0.4243,4.184759,1
27,0.424263,0.424263,4.185888,1
28,0.424263,0.424263,4.185888,1
29,0.423492,0.423492,4.196253,1
30,0.423448,0.423448,4.197696,1
31,0.42355,0.42355,4.195659,1
32,0.424681,0.424681,4.180501,1
33,0.424725,0.424725,4.18069,1
34,0.424495,0.424495,4.185147,1
35,0.424371,0.424371,4.188695,1
36,0.424477,0.424477,4.185197,1
37,0.424638,0.424638,4.177495,1
38,0.424805,0.424805,4.174409,1
39,0.424379,0.424379,4.184396,1
40,0.424074,0.424074,4.192655,1
41,0.423428,0.423428,4.203935,1
42,0.423904,0.423904,4.1901,1
43,0.424115,0.424115,4.182339,1
44,0.424553,0.424553,4.174425,1
45,0.424553,0.424553,4.174425,1
46,0.424553,0.424553,4.174425,1
47,0.424553,0.424553,4.174425,1
48,0.424553,0.424553,4.174425,1
49,0.424553,0.424553,4.174425,1
50,0.424553,0.424553,4.174425,1
51,0.424553,0.424553,4.174425,1
52,0.4245,0.4245,4.175589,1
53,0.4245,0.4245,4.175589,1
54,0.424493,0.424493,4.176408,1
55,0.424493,0.424493,4.176408,1
56,0.424527,0.424527,4.176226,1
57,0.424364,0.424364,4.177863,1
58,0.424319,0.424319,4.179974,1
59,0.424319,0.424319,4.179974,1
60,0.424384,0.424384,4.180856,1
61,0.424036,0.424036,4.187897,1
62,0.424796,0.424796,4.174242,1
63,0.42457,0.42457,4.177521,1
64,0.423605,0.423605,4.218576,1
65,0.422134,0.422134,4.254612,1
66,0.421417,0.421417,4.297479,1
67,0.421074,0.421074,4.31964,1
68,0.421727,0.421727,4.333938,1
69,0.421579,0.421579,4.361793,1
70,0.418767,0.418767,4.448862,1
71,0.418028,0.418028,4.48157,1
72,0.420071,0.420071,4.465677,1
73,0.421234,0.421234,4.456594,1
74,0.418794,0.418794,4.502115,1
75,0.421524,0.421524,4.446321,1
76,0.42043,0.42043,4.46008,1
77,0.420288,0.420288,4.472569,1
78,0.41881,0.41881,4.495422,1
79,0.420401,0.420401,4.455184,1
