Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.422641,0.422641,4.228718,1
11,0.422641,0.422641,4.228718,1
12,0.422641,0.422641,4.228718,1
13,0.422641,0.422641,4.228718,1
14,0.422641,0.422641,4.228718,1
15,0.422641,0.422641,4.228718,1
16,0.422641,0.422641,4.228718,1
17,0.422641,0.422641,4.228718,1
18,0.422641,0.422641,4.228718,1
19,0.422641,0.422641,4.228718,1
20,0.422641,0.422641,4.228718,1
21,0.422641,0.422641,4.228718,1
22,0.422641,0.422641,4.228718,1
23,0.422641,0.422641,4.228718,1
24,0.422641,0.422641,4.228718,1
25,0.422641,0.422641,4.228718,1
26,0.423193,0.423193,4.220048,1
27,0.423193,0.423193,4.220048,1
28,0.423193,0.423193,4.220048,1
29,0.422295,0.422295,4.233646,1
30,0.422295,0.422295,4.233646,1
31,0.422438,0.422438,4.231103,1
32,0.423987,0.423987,4.208007,1
33,0.423987,0.423987,4.208007,1
34,0.423595,0.423595,4.215054,1
35,0.423347,0.423348,4.2196,1
36,0.423076,0.423076,4.222931,1
37,0.423598,0.423598,4.215754,1
38,0.423261,0.42326,4.219486,1
39,0.423207,0.423207,4.22411,1
40,0.422653,0.422653,4.234208,1
41,0.422481,0.422481,4.240677,1
42,0.422195,0.422195,4.241991,1
43,0.422626,0.422626,4.234359,1
44,0.42254,0.42254,4.234068,1
45,0.42254,0.42254,4.234068,1
46,0.42254,0.42254,4.234068,1
47,0.42254,0.42254,4.234068,1
48,0.42254,0.42254,4.234068,1
49,0.42254,0.42254,4.234068,1
50,0.42254,0.42254,4.234068,1
51,0.422472,0.422472,4.235416,1
52,0.42244,0.42244,4.23762,1
53,0.422462,0.422462,4.23513,1
54,0.42243,0.42243,4.237387,1
55,0.422308,0.422308,4.237916,1
56,0.421979,0.421979,4.245245,1
57,0.421843,0.421843,4.246854,1
58,0.42188,0.42188,4.248933,1
59,0.422202,0.422202,4.239217,1
60,0.419492,0.419492,4.371057,1
61,0.41886,0.41886,4.387657,1
62,0.416582,0.416582,4.498949,1
63,0.41627,0.41627,4.513882,1
64,0.411554,0.411554,4.680801,1
65,0.41026,0.41026,4.700677,1
66,0.408218,0.408218,4.830695,1
67,0.407399,0.407399,4.828535,1
68,0.405937,0.405937,4.93239,1
69,0.40484,0.40484,4.932027,1
70,0.405072,0.405072,4.91262,1
71,0.408894,0.408894,4.744419,1
72,0.405447,0.405447,4.933195,1
73,0.406189,0.406189,4.818224,1
74,0.404739,0.404739,4.915396,1
75,0.406001,0.406001,4.824511,1
76,0.404497,0.404497,4.921135,1
77,0.404298,0.404298,4.87108,1
78,0.405205,0.405205,4.918653,1
79,0.405923,0.405923,4.86349,1
80,0.405038,0.405038,4.946322,1
81,0.405228,0.405228,4.900981,1
82,0.404993,0.404993,4.94833,1
83,0.404558,0.404558,4.91618,1
84,0.405554,0.405554,4.912148,1
85,0.405586,0.405586,4.905114,1
86,0.409602,0.409602,4.721286,1
87,0.406055,0.406055,4.933311,1
88,0.406361,0.406361,4.79989,1
89,0.406009,0.406009,4.945334,1
