Frame,SpikeRate,MembranePotential,Logit,Prediction
10,0.411606,0.411606,4.212648,1
11,0.411606,0.411606,4.212648,1
12,0.411606,0.411606,4.212648,1
13,0.411606,0.411606,4.212648,1
14,0.411606,0.411606,4.212648,1
15,0.411606,0.411606,4.212648,1
16,0.411606,0.411606,4.212648,1
17,0.411606,0.411606,4.212648,1
18,0.411606,0.411606,4.212648,1
19,0.411606,0.411606,4.212648,1
20,0.411606,0.411606,4.212648,1
21,0.411606,0.411606,4.212648,1
22,0.411606,0.411606,4.212648,1
23,0.411606,0.411606,4.212648,1
24,0.411606,0.411606,4.212648,1
25,0.411606,0.411606,4.212648,1
26,0.411606,0.411606,4.212648,1
27,0.411606,0.411606,4.212648,1
28,0.411606,0.411606,4.212648,1
29,0.411606,0.411606,4.212648,1
30,0.411606,0.411606,4.212648,1
31,0.411606,0.411606,4.212648,1
32,0.411606,0.411606,4.212648,1
33,0.411606,0.411606,4.212648,1
34,0.411606,0.411606,4.212648,1
35,0.411612,0.411612,4.212062,1
36,0.411609,0.411609,4.211851,1
37,0.411588,0.411587,4.212076,1
38,0.41163,0.41163,4.212194,1
39,0.411577,0.411577,4.211667,1
40,0.411629,0.411629,4.213639,1
41,0.411548,0.411548,4.214066,1
42,0.411566,0.411566,4.215082,1
43,0.411566,0.411566,4.215142,1
44,0.411636,0.411636,4.21574,1
45,0.411638,0.411638,4.215729,1
46,0.411638,0.411638,4.215729,1
47,0.411638,0.411638,4.215729,1
48,0.411638,0.411638,4.215729,1
49,0.411638,0.411638,4.215729,1
50,0.411638,0.411638,4.215729,1
51,0.411638,0.411638,4.215729,1
52,0.411635,0.411635,4.215806,1
53,0.411635,0.411635,4.215806,1
54,0.411626,0.411626,4.215827,1
55,0.411626,0.411626,4.215827,1
56,0.411623,0.411623,4.215904,1
57,0.411621,0.411621,4.215921,1
58,0.411609,0.411609,4.216074,1
59,0.411609,0.411609,4.216074,1
60,0.411584,0.411584,4.215719,1
61,0.411584,0.411584,4.216084,1
62,0.411536,0.411536,4.217691,1
63,0.411615,0.411615,4.219188,1
64,0.411514,0.411514,4.219587,1
65,0.41161,0.41161,4.220937,1
66,0.411623,0.411623,4.222029,1
67,0.411667,0.411667,4.221601,1
68,0.410815,0.410815,4.247881,1
69,0.410359,0.410359,4.235595,1
70,0.410667,0.410667,4.263118,1
71,0.410115,0.410115,4.27273,1
72,0.410573,0.410573,4.29348,1
73,0.410228,0.410228,4.295842,1
74,0.410463,0.410463,4.323655,1
75,0.4103,0.4103,4.316448,1
76,0.410788,0.410788,4.352954,1
77,0.411301,0.411301,4.358271,1
78,0.411186,0.411186,4.357642,1
79,0.411151,0.411151,4.363829,1
80,0.410779,0.410779,4.364468,1
81,0.410318,0.410318,4.371012,1
82,0.41006,0.41006,4.374932,1
83,0.409946,0.409946,4.377068,1
84,0.409442,0.409442,4.387016,1
85,0.409132,0.409132,4.391679,1
86,0.408702,0.408702,4.400083,1
87,0.408551,0.408551,4.402842,1
88,0.408105,0.408105,4.408426,1
89,0.407568,0.407568,4.412224,1
90,0.407472,0.407472,4.41939,1
91,0.407407,0.407407,4.422039,1
92,0.406966,0.406966,4.430462,1
93,0.406836,0.406836,4.432203,1
94,0.406618,0.406618,4.440618,1
95,0.406412,0.406412,4.440579,1
96,0.406265,0.406265,4.446891,1
97,0.406122,0.406122,4.445184,1
98,0.405891,0.405891,4.460433,1
99,0.405756,0.405756,4.458141,1
100,0.405521,0.405521,4.471329,1
101,0.405344,0.405344,4.483517,1
102,0.405023,0.405023,4.489981,1
103,0.404749,0.404749,4.499514,1
104,0.404626,0.404626,4.508004,1
105,0.404106,0.404106,4.523424,1
106,0.403981,0.403981,4.532926,1
107,0.403688,0.403688,4.544505,1
108,0.403185,0.403184,4.547966,1
109,0.402718,0.402718,4.569275,1
110,0.402646,0.402646,4.582292,1
111,0.40228,0.40228,4.592872,1
112,0.401892,0.401892,4.600394,1
113,0.401448,0.401448,4.619829,1
114,0.401099,0.401099,4.630665,1
115,0.40074,0.40074,4.644818,1
116,0.400348,0.400348,4.663674,1
117,0.40006,0.40006,4.679832,1
118,0.399721,0.399721,4.693764,1
119,0.399135,0.399135,4.704262,1
120,0.398866,0.398866,4.716921,1
121,0.398759,0.398759,4.725941,1
122,0.398907,0.398907,4.723862,1
123,0.398851,0.398851,4.720297,1
124,0.398726,0.398726,4.708425,1
125,0.399239,0.399239,4.692833,1
126,0.399452,0.399452,4.674183,1
127,0.400168,0.400168,4.64322,1
128,0.400647,0.400647,4.619732,1
129,0.401938,0.401938,4.578897,1
130,0.402504,0.402504,4.553755,1
131,0.403995,0.403995,4.509396,1
132,0.404439,0.404439,4.475126,1
133,0.406102,0.406102,4.44403,1
134,0.406656,0.406656,4.412484,1
135,0.407976,0.407976,4.371931,1
136,0.408299,0.408299,4.350351,1
137,0.409515,0.409515,4.319953,1
138,0.409839,0.409839,4.303705,1
139,0.410654,0.410654,4.286946,1
140,0.41075,0.41075,4.271512,1
141,0.41124,0.41124,4.260619,1
142,0.411314,0.411314,4.253772,1
143,0.411665,0.411665,4.245647,1
144,0.411604,0.411604,4.242314,1
145,0.411639,0.411639,4.237938,1
146,0.411601,0.411601,4.237001,1
147,0.411481,0.411481,4.233767,1
148,0.411485,0.411485,4.231026,1
149,0.411537,0.411537,4.232579,1
150,0.41144,0.41144,4.232287,1
151,0.411424,0.411424,4.233688,1
152,0.411624,0.411624,4.234529,1
153,0.411807,0.411807,4.236038,1
154,0.411566,0.411566,4.23176,1
155,0.411725,0.411725,4.236383,1
156,0.411752,0.411752,4.230632,1
157,0.4118,0.4118,4.229848,1
158,0.41156,0.41156,4.230723,1
159,0.411688,0.411688,4.230731,1
160,0.411763,0.411763,4.227706,1
161,0.411568,0.411568,4.226177,1
162,0.411673,0.411673,4.223744,1
163,0.411749,0.411749,4.226012,1
164,0.411855,0.411855,4.228679,1
165,0.411575,0.411575,4.225167,1
166,0.411674,0.411674,4.221364,1
167,0.411533,0.411533,4.224324,1
168,0.411647,0.411647,4.221191,1
169,0.41169,0.41169,4.221822,1
170,0.411603,0.411603,4.222203,1
171,0.411722,0.411722,4.222947,1
172,0.411832,0.411832,4.224448,1
173,0.41181,0.41181,4.221942,1
174,0.41178,0.41178,4.223188,1
175,0.411848,0.411848,4.222815,1
176,0.411705,0.411705,4.218791,1
177,0.411697,0.411697,4.222198,1
178,0.411842,0.411842,4.222769,1
179,0.411816,0.411816,4.222717,1
180,0.411702,0.411702,4.220754,1
181,0.41171,0.41171,4.221375,1
182,0.411894,0.411894,4.224905,1
183,0.411842,0.411842,4.22301,1
184,0.411826,0.411826,4.223834,1
185,0.411115,0.411114,4.248257,1
186,0.4105,0.4105,4.236564,1
187,0.410712,0.410712,4.265051,1
188,0.410123,0.410123,4.272827,1
189,0.410614,0.410614,4.291144,1
190,0.410239,0.410239,4.295208,1
191,0.410347,0.410347,4.32232,1
192,0.410349,0.410349,4.316381,1
193,0.410562,0.410562,4.350944,1
194,0.411179,0.411179,4.358419,1
195,0.411139,0.411139,4.356977,1
196,0.411189,0.411189,4.363819,1
197,0.410886,0.410886,4.363499,1
198,0.410451,0.410451,4.37208,1
199,0.410077,0.410077,4.374442,1
200,0.409818,0.409818,4.377277,1
201,0.409714,0.409714,4.38593,1
202,0.409363,0.409363,4.388841,1
