Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,9937.6797,1,0,1,0.8033,0.8648,0
2,9937.6797,0,0,0,0.8033,0.8648,0
3,7622.1323,0,0,0,1.643,0.7186,0
4,7622.1323,0,0,0,1.643,0.7186,0
5,7619.6558,0,0,0,1.9821,0.6365,0
6,7619.6558,0,0,0,1.9821,0.6365,0
7,7625.3901,0,0,0,2.112,0.564,0
8,7625.3901,0,0,0,2.112,0.564,0
9,7652.6343,0,0,0,2.1623,0.5003,0
10,7652.6343,0,0,0,2.1623,0.5003,0
11,7652.4985,0,0,0,2.1831,0.5,0
12,7652.4985,0,0,0,2.1831,0.5,0
13,7591.2852,0,0,0,2.2073,0.5,0
14,7591.2852,0,0,0,2.2073,0.5,0
15,7605.9922,0,0,0,2.2217,0.5,0
16,7605.9922,0,0,0,2.2217,0.5,0
17,7606.0352,0,0,0,2.2277,0.5,0
18,7606.0352,0,0,0,2.2277,0.5,0
19,7606.0352,0,0,0,2.2302,0.5,0
20,7606.0352,0,0,0,2.2302,0.5,0
21,7606.0352,0,0,0,2.2294,0.5,0
22,7606.0352,0,0,0,2.2294,0.5,0
23,7616.1465,0,0,0,2.2146,0.5,0
24,7616.1465,0,0,0,2.2146,0.5,0
25,7603.9189,0,0,0,2.231,0.5,0
26,7603.9189,0,0,0,2.231,0.5,0
27,7619.7993,0,0,0,2.2433,0.5,0
28,7619.7993,0,0,0,2.2433,0.5,0
29,14048.1377,1,0,1,2.9046,0.9116,0
