Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0001,0.5,0
30,0.0,0,0,0,0.0001,0.5,0
31,0.0,0,0,0,0.0001,0.5,0
32,0.0,0,0,0,0.0001,0.5,0
33,0.0,0,0,0,0.0,0.5,0
34,0.0,0,0,0,0.0,0.5,0
35,0.0,0,0,0,0.0011,0.5,0
36,0.0,0,0,0,0.0011,0.5,0
37,0.0,0,0,0,0.0006,0.5,0
38,0.0,0,0,0,0.0006,0.5,0
39,0.0,0,0,0,0.0003,0.5,0
40,0.0,0,0,0,0.0003,0.5,0
41,0.0,0,0,0,0.0002,0.5,0
42,0.0,0,0,0,0.0002,0.5,0
43,0.0,0,0,0,0.0001,0.5,0
44,0.0,0,0,0,0.0001,0.5,0
45,0.0,0,0,0,0.0,0.5,0
46,0.0,0,0,0,0.0,0.5,0
47,0.0,0,0,0,0.0,0.5,0
48,0.0,0,0,0,0.0,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0006,0.5,0
52,0.0,0,0,0,0.0006,0.5,0
53,0.0,0,0,0,0.0003,0.5,0
54,0.0,0,0,0,0.0003,0.5,0
55,0.0,0,0,0,0.0002,0.5,0
56,0.0,0,0,0,0.0002,0.5,0
57,0.0,0,0,0,0.0001,0.5,0
58,0.0,0,0,0,0.0001,0.5,0
59,0.0,0,0,0,0.0091,0.5,0
60,0.0,0,0,0,0.0091,0.5,0
61,0.0,0,0,0,0.006,0.5,0
62,0.0,0,0,0,0.006,0.5,0
63,0.0,0,0,0,0.0034,0.5,0
64,0.0,1,0,1,0.0034,0.5,0
65,168.9775,0,0,0,0.6319,0.5,0
66,168.9775,0,0,0,0.6319,0.5,0
67,0.0,0,0,0,0.3579,0.5,0
68,0.0,0,0,0,0.3579,0.5,0
69,0.0,0,0,0,0.1994,0.5,0
70,0.0,0,0,0,0.1994,0.5,0
71,0.0,0,0,0,0.1136,0.5,0
72,0.0,0,0,0,0.1136,0.5,0
73,222.6662,0,0,0,0.0693,0.5,0
74,222.6662,0,0,0,0.0693,0.5,0
75,98.7831,0,0,0,0.0491,0.5,0
76,98.7831,0,0,0,0.0491,0.5,0
77,265.8517,0,0,0,0.036,0.5,0
78,265.8517,0,0,0,0.036,0.5,0
79,0.0,0,0,0,0.0307,0.5,0
80,0.0,0,0,0,0.0307,0.5,0
81,0.0,0,0,0,0.033,0.5,0
82,0.0,0,0,0,0.033,0.5,0
83,488.6289,0,0,0,0.1734,0.5,0
84,488.6289,0,0,0,0.1734,0.5,0
85,0.0,0,0,0,0.2807,0.5,0
86,0.0,0,0,0,0.2807,0.5,0
87,428.5258,0,0,0,0.3892,0.5,0
88,428.5258,0,0,0,0.3892,0.5,0
89,234.6539,0,0,0,0.3468,0.5,0
90,234.6539,0,0,0,0.3468,0.5,0
91,0.0,0,0,0,0.2054,0.5,0
92,0.0,0,0,0,0.2054,0.5,0
93,2087.9485,0,0,0,0.1396,0.5,0
94,2087.9485,0,0,0,0.1396,0.5,0
95,1175.344,0,0,0,0.0912,0.5,0
96,1175.344,0,0,0,0.0912,0.5,0
97,1044.1002,0,0,0,0.0654,0.5,0
98,1044.1002,0,0,0,0.0654,0.5,0
99,719.2495,0,0,0,0.056,0.5,0
100,719.2495,0,0,0,0.056,0.5,0
101,6815.2529,0,0,0,0.0597,0.5,0
102,6815.2529,0,0,0,0.0597,0.5,0
103,2433.658,0,0,0,0.0559,0.5,0
104,2433.658,0,0,0,0.0559,0.5,0
105,3117.7007,0,0,0,0.0553,0.5,0
106,3117.7007,0,0,0,0.0553,0.5,0
107,1529.1593,0,0,0,0.0611,0.5,0
108,1529.1593,0,0,0,0.0611,0.5,0
109,4175.2622,0,0,0,0.0883,0.5,0
