Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,1,0,1,0.0,0.5,0
3,8672.3838,1,0,2,0.7318,0.7891,0
4,8672.3838,1,0,3,0.7318,0.7891,0
5,16311.7725,1,0,4,1.5406,0.924,0
6,16311.7725,1,0,5,1.5406,0.924,0
7,17953.4961,1,0,6,2.3165,0.8748,0
8,17953.4961,1,0,7,2.3165,0.8748,0
9,23274.1719,1,1,8,3.3244,0.8827,1
10,23274.1719,1,1,9,3.3244,0.8827,1
11,31639.748,1,1,10,3.8068,0.7846,1
12,31639.748,0,0,0,3.8068,0.7846,0
13,29437.5254,0,0,0,4.8287,0.6947,0
14,29437.5254,0,0,0,4.8287,0.6947,0
15,27389.375,0,0,0,5.4112,0.615,0
16,27389.375,0,0,0,5.4112,0.615,0
17,19815.9355,0,0,0,6.24,0.5387,0
18,19815.9355,0,0,0,6.24,0.5387,0
19,8168.6113,0,0,0,7.3429,0.5,0
20,8168.6113,0,0,0,7.3429,0.5,0
21,6786.2236,0,0,0,8.1303,0.5,0
22,6786.2236,0,0,0,8.1303,0.5,0
23,2696.6069,0,0,0,8.6504,0.5,0
24,2696.6069,0,0,0,8.6504,0.5,0
25,1090.4626,0,0,0,9.7745,0.5,0
26,1090.4626,0,0,0,9.7745,0.5,0
27,327.616,0,0,0,10.36,0.5,0
28,327.616,0,0,0,10.36,0.5,0
29,0.0,0,0,0,11.4015,0.5,0
