Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,45186.4258,1,0,1,1.684,0.9412,0
2,45186.4258,1,0,2,1.684,0.9412,0
3,8380.3447,0,0,0,5.4248,0.7263,0
4,8380.3447,1,0,1,5.4248,0.7263,0
5,934.3895,0,0,0,10.5364,0.5,0
6,934.3895,0,0,0,10.5364,0.5,0
7,2922.9353,0,0,0,9.2673,0.5875,0
8,2922.9353,0,0,0,9.2673,0.5875,0
9,256.2675,0,0,0,11.0867,0.5,0
10,256.2675,0,0,0,11.0867,0.5,0
11,0.0,0,0,0,15.886,0.5,0
12,0.0,0,0,0,15.886,0.5,0
13,0.0,0,0,0,13.44,0.5,0
14,0.0,0,0,0,13.44,0.5,0
15,0.0,0,0,0,16.5916,0.5,0
16,0.0,0,0,0,16.5916,0.5,0
17,0.0,0,0,0,16.8901,0.5,0
18,0.0,0,0,0,16.8901,0.5,0
19,0.0,0,0,0,17.5323,0.5,0
20,0.0,0,0,0,17.5323,0.5,0
21,0.0,0,0,0,16.845,0.5,0
22,0.0,0,0,0,16.845,0.5,0
23,0.0,0,0,0,18.5343,0.5,0
24,0.0,0,0,0,18.5343,0.5,0
25,0.0,0,0,0,24.3179,0.5,0
26,0.0,0,0,0,24.3179,0.5,0
27,0.0,0,0,0,21.5466,0.5,0
28,0.0,0,0,0,21.5466,0.5,0
29,0.0,0,0,0,14.0055,0.5,0
