Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0,0.5,0
24,0.0,0,0,0,0.0,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0,0.5,0
30,0.0,0,0,0,0.0,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0,0.5,0
34,0.0,0,0,0,0.0,0.5,0
35,0.0,0,0,0,0.0,0.5,0
36,0.0,0,0,0,0.0,0.5,0
37,0.0,0,0,0,0.0,0.5,0
38,0.0,0,0,0,0.0,0.5,0
39,0.0,0,0,0,0.0,0.5,0
40,0.0,0,0,0,0.0,0.5,0
41,0.0,0,0,0,0.0,0.5,0
42,0.0,0,0,0,0.0,0.5,0
43,0.0,0,0,0,0.0,0.5,0
44,0.0,0,0,0,0.0,0.5,0
45,0.0,0,0,0,0.0,0.5,0
46,0.0,0,0,0,0.0,0.5,0
47,0.0,0,0,0,0.0,0.5,0
48,0.0,0,0,0,0.0,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0,0.5,0
52,0.0,0,0,0,0.0,0.5,0
53,0.0,0,0,0,0.0,0.5,0
54,0.0,0,0,0,0.0,0.5,0
55,0.0,0,0,0,0.0,0.5,0
56,0.0,0,0,0,0.0,0.5,0
57,0.0,0,0,0,0.0,0.5,0
58,0.0,0,0,0,0.0,0.5,0
59,0.0,0,0,0,0.0005,0.5,0
60,0.0,0,0,0,0.0005,0.5,0
61,0.0,0,0,0,0.0004,0.5,0
62,0.0,0,0,0,0.0004,0.5,0
63,0.0,0,0,0,0.0003,0.5,0
64,0.0,0,0,0,0.0003,0.5,0
65,0.0,0,0,0,0.0002,0.5,0
66,0.0,0,0,0,0.0002,0.5,0
67,0.0,0,0,0,0.0002,0.5,0
68,0.0,0,0,0,0.0002,0.5,0
69,0.0,0,0,0,0.0002,0.5,0
70,0.0,0,0,0,0.0002,0.5,0
71,172.7193,0,0,0,0.0002,0.5,0
72,172.7193,0,0,0,0.0002,0.5,0
73,0.0,0,0,0,0.0003,0.5,0
74,0.0,0,0,0,0.0003,0.5,0
75,0.0,0,0,0,0.0002,0.5,0
76,0.0,0,0,0,0.0002,0.5,0
77,0.0,0,0,0,0.0002,0.5,0
78,0.0,0,0,0,0.0002,0.5,0
79,0.0,0,0,0,0.0002,0.5,0
80,0.0,0,0,0,0.0002,0.5,0
81,0.0,0,0,0,0.0002,0.5,0
82,0.0,0,0,0,0.0002,0.5,0
83,0.0,0,0,0,0.0002,0.5,0
84,0.0,0,0,0,0.0002,0.5,0
85,190.6473,0,0,0,0.0003,0.5,0
86,190.6473,0,0,0,0.0003,0.5,0
87,207.0249,0,0,0,0.0003,0.5,0
88,207.0249,0,0,0,0.0003,0.5,0
89,0.0,0,0,0,0.0003,0.5,0
90,0.0,0,0,0,0.0003,0.5,0
91,31.8315,0,0,0,0.0003,0.5,0
92,31.8315,0,0,0,0.0003,0.5,0
93,495.4247,0,0,0,0.0007,0.5,0
94,495.4247,0,0,0,0.0007,0.5,0
95,122.4869,0,0,0,0.0007,0.5,0
96,122.4869,0,0,0,0.0007,0.5,0
97,378.0757,0,0,0,0.0011,0.5,0
98,378.0757,0,0,0,0.0011,0.5,0
99,136.1506,0,0,0,0.0011,0.5,0
100,136.1506,0,0,0,0.0011,0.5,0
101,790.2416,0,0,0,0.0014,0.5,0
102,790.2416,0,0,0,0.0014,0.5,0
103,636.6819,0,0,0,0.0019,0.5,0
104,636.6819,0,0,0,0.0019,0.5,0
105,508.8629,0,0,0,0.002,0.5,0
106,508.8629,0,0,0,0.002,0.5,0
107,2594.3506,0,0,0,0.0027,0.5,0
108,2594.3506,0,0,0,0.0027,0.5,0
109,1531.8862,0,0,0,0.003,0.5,0
110,1531.8862,0,0,0,0.003,0.5,0
