Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,1,0,1,0.0,0.5,0
3,8672.3838,1,0,2,0.7318,0.7891,0
4,8672.3838,1,0,3,0.7318,0.7891,0
5,16311.7725,1,0,4,1.5406,0.924,0
6,16311.7725,1,0,5,1.5406,0.924,0
7,17953.4961,1,0,6,2.3165,0.8748,0
8,17953.4961,1,0,7,2.3165,0.8748,0
9,23274.1719,1,1,8,3.3244,0.8827,1
10,23274.1719,1,1,9,3.3244,0.8827,1
11,31639.748,1,1,10,3.8068,0.7846,1
12,31639.748,0,0,0,3.8068,0.7846,0
13,29437.5254,0,0,0,4.8287,0.6947,0
14,29437.5254,0,0,0,4.8287,0.6947,0
15,27389.375,0,0,0,5.4112,0.615,0
16,27389.375,0,0,0,5.4112,0.615,0
17,0.0,0,0,0,17.7748,0.5,0
18,0.0,0,0,0,17.7748,0.5,0
19,0.0,0,0,0,19.5943,0.5,0
20,0.0,0,0,0,19.5943,0.5,0
21,0.0,0,0,0,16.02,0.5,0
22,0.0,0,0,0,16.02,0.5,0
23,0.0,0,0,0,10.1927,0.5,0
24,0.0,0,0,0,10.1927,0.5,0
25,203.992,0,0,0,9.8674,0.5,0
26,203.992,0,0,0,9.8674,0.5,0
27,0.0,0,0,0,12.1859,0.5,0
28,0.0,0,0,0,12.1859,0.5,0
29,0.0,0,0,0,14.9189,0.5,0
