Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0,0.5,0
24,0.0,0,0,0,0.0,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0001,0.5,0
30,0.0,0,0,0,0.0001,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0,0.5,0
34,0.0,0,0,0,0.0,0.5,0
35,0.0,0,0,0,0.0014,0.5,0
36,0.0,0,0,0,0.0014,0.5,0
37,0.0,0,0,0,0.0007,0.5,0
38,0.0,0,0,0,0.0007,0.5,0
39,0.0,0,0,0,0.0004,0.5,0
40,0.0,0,0,0,0.0004,0.5,0
41,0.0,0,0,0,0.0002,0.5,0
42,0.0,0,0,0,0.0002,0.5,0
43,0.0,0,0,0,0.0001,0.5,0
44,0.0,0,0,0,0.0001,0.5,0
45,0.0,0,0,0,0.0001,0.5,0
46,0.0,0,0,0,0.0001,0.5,0
47,0.0,0,0,0,0.0001,0.5,0
48,0.0,0,0,0,0.0001,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0009,0.5,0
52,0.0,0,0,0,0.0009,0.5,0
53,0.0,0,0,0,0.0005,0.5,0
54,0.0,0,0,0,0.0005,0.5,0
55,0.0,0,0,0,0.0003,0.5,0
56,0.0,0,0,0,0.0003,0.5,0
57,0.0,0,0,0,0.0001,0.5,0
58,0.0,0,0,0,0.0001,0.5,0
59,0.0,0,0,0,0.012,0.5,0
60,0.0,0,0,0,0.012,0.5,0
61,0.0,0,0,0,0.2257,0.5,0
62,0.0,0,0,0,0.2257,0.5,0
63,131.4077,0,0,0,0.3181,0.5,0
64,131.4077,0,0,0,0.3181,0.5,0
65,0.0,0,0,0,0.2066,0.5,0
66,0.0,0,0,0,0.2066,0.5,0
67,0.0,0,0,0,0.1473,0.5,0
68,0.0,0,0,0,0.1473,0.5,0
69,563.3825,0,0,0,0.2148,0.5,0
70,563.3825,0,0,0,0.2148,0.5,0
71,0.0,0,0,0,0.2215,0.5,0
72,0.0,0,0,0,0.2215,0.5,0
73,0.0,0,0,0,0.238,0.5,0
74,0.0,0,0,0,0.238,0.5,0
75,301.1867,0,0,0,0.243,0.5,0
76,301.1867,0,0,0,0.243,0.5,0
77,0.0,0,0,0,0.159,0.5,0
78,0.0,0,0,0,0.159,0.5,0
79,334.1858,0,0,0,0.1097,0.5,0
80,334.1858,0,0,0,0.1097,0.5,0
81,659.3428,0,0,0,0.0702,0.5,0
82,659.3428,0,0,0,0.0702,0.5,0
83,470.6784,0,0,0,0.0487,0.5,0
84,470.6784,0,0,0,0.0487,0.5,0
85,460.9328,0,0,0,0.0413,0.5,0
86,460.9328,0,0,0,0.0413,0.5,0
87,1536.4202,0,0,0,0.0418,0.5,0
88,1536.4202,0,0,0,0.0418,0.5,0
89,366.9553,0,0,0,0.0442,0.5,0
90,366.9553,0,0,0,0.0442,0.5,0
91,508.6003,0,0,0,0.0441,0.5,0
92,508.6003,0,0,0,0.0441,0.5,0
93,698.9651,0,0,0,0.0448,0.5,0
94,698.9651,0,0,0,0.0448,0.5,0
95,1222.4707,0,0,0,0.0474,0.5,0
96,1222.4707,0,0,0,0.0474,0.5,0
97,1196.0898,0,0,0,0.0515,0.5,0
98,1196.0898,0,0,0,0.0515,0.5,0
99,869.7186,0,0,0,0.0569,0.5,0
100,869.7186,0,0,0,0.0569,0.5,0
101,6084.8877,0,0,0,0.0722,0.5,0
102,6084.8877,0,0,0,0.0722,0.5,0
103,5819.5356,0,0,0,0.0776,0.5,0
104,5819.5356,0,0,0,0.0776,0.5,0
105,32469.2441,0,0,0,0.0853,0.5,0
106,32469.2441,0,0,0,0.0853,0.5,0
107,7961.5552,0,0,0,0.1072,0.5,0
108,7961.5552,0,0,0,0.1072,0.5,0
