Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0001,0.5,0
30,0.0,0,0,0,0.0001,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0008,0.5,0
34,0.0,0,0,0,0.0008,0.5,0
35,0.0,0,0,0,0.0009,0.5,0
36,0.0,0,0,0,0.0009,0.5,0
37,0.0,0,0,0,0.0005,0.5,0
38,0.0,0,0,0,0.0005,0.5,0
39,0.0,0,0,0,0.0003,0.5,0
40,0.0,0,0,0,0.0003,0.5,0
41,0.0,0,0,0,0.0002,0.5,0
42,0.0,0,0,0,0.0002,0.5,0
43,0.0,0,0,0,0.0001,0.5,0
44,0.0,0,0,0,0.0001,0.5,0
45,0.0,0,0,0,0.0001,0.5,0
46,0.0,0,0,0,0.0001,0.5,0
47,0.0,0,0,0,0.0001,0.5,0
48,0.0,0,0,0,0.0001,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0006,0.5,0
52,0.0,0,0,0,0.0006,0.5,0
53,0.0,0,0,0,0.0003,0.5,0
54,0.0,0,0,0,0.0003,0.5,0
55,0.0,0,0,0,0.0002,0.5,0
56,0.0,0,0,0,0.0002,0.5,0
57,0.0,0,0,0,0.0001,0.5,0
58,0.0,0,0,0,0.0001,0.5,0
59,0.0,0,0,0,0.0068,0.5,0
60,0.0,0,0,0,0.0068,0.5,0
61,0.0,0,0,0,0.2229,0.5,0
62,0.0,0,0,0,0.2229,0.5,0
63,0.0,0,0,0,0.2363,0.5,0
64,0.0,0,0,0,0.2363,0.5,0
65,0.0,0,0,0,0.2535,0.5,0
66,0.0,0,0,0,0.2535,0.5,0
67,0.0,0,0,0,0.2567,0.5,0
68,0.0,0,0,0,0.2567,0.5,0
69,0.0,0,0,0,0.2289,0.5,0
70,0.0,0,0,0,0.2289,0.5,0
71,0.0,0,0,0,0.2078,0.5,0
72,0.0,0,0,0,0.2078,0.5,0
73,0.0,0,0,0,0.1652,0.5,0
74,0.0,0,0,0,0.1652,0.5,0
75,0.0,0,0,0,0.1646,0.5,0
76,0.0,0,0,0,0.1646,0.5,0
77,0.0,0,0,0,0.1145,0.5,0
78,0.0,0,0,0,0.1145,0.5,0
79,120.7516,0,0,0,0.0913,0.5,0
80,120.7516,0,0,0,0.0913,0.5,0
81,190.7577,0,0,0,0.1657,0.5,0
82,190.7577,0,0,0,0.1657,0.5,0
83,583.9298,0,0,0,0.2999,0.5,0
84,583.9298,0,0,0,0.2999,0.5,0
85,34.6808,0,0,0,0.2829,0.5,0
86,34.6808,0,0,0,0.2829,0.5,0
87,65.6065,0,0,0,0.1786,0.5,0
88,65.6065,0,0,0,0.1786,0.5,0
89,145.8651,0,0,0,0.1244,0.5,0
90,145.8651,0,0,0,0.1244,0.5,0
91,245.4214,0,0,0,0.0889,0.5,0
92,245.4214,0,0,0,0.0889,0.5,0
93,165.3349,0,0,0,0.0688,0.5,0
94,165.3349,0,0,0,0.0688,0.5,0
95,327.3674,0,0,0,0.0573,0.5,0
96,327.3674,0,0,0,0.0573,0.5,0
97,372.7488,0,0,0,0.0535,0.5,0
98,372.7488,0,0,0,0.0535,0.5,0
99,166.528,0,0,0,0.0523,0.5,0
100,166.528,0,0,0,0.0523,0.5,0
101,271.192,0,0,0,0.0534,0.5,0
102,271.192,0,0,0,0.0534,0.5,0
103,692.013,0,0,0,0.0554,0.5,0
104,692.013,0,0,0,0.0554,0.5,0
105,535.91,0,0,0,0.0605,0.5,0
106,535.91,0,0,0,0.0605,0.5,0
107,4350.4604,0,0,0,0.0697,0.5,0
108,4350.4604,0,0,0,0.0697,0.5,0
109,27250.4785,0,0,0,0.0969,0.5,0
