Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0001,0.5,0
26,0.0,0,0,0,0.0001,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0002,0.5,0
30,0.0,0,0,0,0.0002,0.5,0
31,0.0,0,0,0,0.0001,0.5,0
32,0.0,0,0,0,0.0001,0.5,0
33,0.0,0,0,0,0.0,0.5,0
34,0.0,0,0,0,0.0,0.5,0
35,0.0,0,0,0,0.0023,0.5,0
36,0.0,0,0,0,0.0023,0.5,0
37,0.0,0,0,0,0.0013,0.5,0
38,0.0,0,0,0,0.0013,0.5,0
39,0.0,0,0,0,0.0007,0.5,0
40,0.0,0,0,0,0.0007,0.5,0
41,0.0,0,0,0,0.0004,0.5,0
42,0.0,0,0,0,0.0004,0.5,0
43,0.0,0,0,0,0.0002,0.5,0
44,0.0,0,0,0,0.0002,0.5,0
45,0.0,0,0,0,0.0001,0.5,0
46,0.0,0,0,0,0.0001,0.5,0
47,0.0,0,0,0,0.0001,0.5,0
48,0.0,0,0,0,0.0001,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0015,0.5,0
52,0.0,0,0,0,0.0015,0.5,0
53,942479.375,0,0,0,1.7781,0.7462,0
54,942479.375,0,0,0,1.7781,0.7462,0
55,0.0,0,0,0,1.0787,0.5,0
56,0.0,0,0,0,1.0787,0.5,0
57,208.4305,0,0,0,0.6788,0.5,0
58,208.4305,0,0,0,0.6788,0.5,0
59,75.6894,0,0,0,0.4772,0.5,0
60,75.6894,0,0,0,0.4772,0.5,0
61,0.0,0,0,0,0.3434,0.5,0
62,0.0,0,0,0,0.3434,0.5,0
63,30.489,0,0,0,0.2477,0.5,0
64,30.489,0,0,0,0.2477,0.5,0
65,65.0383,0,0,0,0.2085,0.5,0
66,65.0383,0,0,0,0.2085,0.5,0
67,109.5086,0,0,0,0.1913,0.5,0
68,109.5086,0,0,0,0.1913,0.5,0
69,66.6657,0,0,0,0.164,0.5,0
70,66.6657,0,0,0,0.164,0.5,0
71,1346.0063,0,0,0,0.1242,0.5,0
72,1346.0063,0,0,0,0.1242,0.5,0
73,473.0648,0,0,0,0.0984,0.5,0
74,473.0648,0,0,0,0.0984,0.5,0
75,0.0,0,0,0,0.1275,0.5,0
76,0.0,0,0,0,0.1275,0.5,0
77,330.0378,0,0,0,0.1911,0.5,0
78,330.0378,0,0,0,0.1911,0.5,0
79,228.899,0,0,0,0.1872,0.5,0
80,228.899,0,0,0,0.1872,0.5,0
81,2730.1858,0,0,0,0.1434,0.5,0
82,2730.1858,0,0,0,0.1434,0.5,0
83,30.166,0,0,0,0.1044,0.5,0
84,30.166,0,0,0,0.1044,0.5,0
85,305.8899,0,0,0,0.0821,0.5,0
86,305.8899,0,0,0,0.0821,0.5,0
87,402.5758,0,0,0,0.0725,0.5,0
88,402.5758,0,0,0,0.0725,0.5,0
89,238.1668,0,0,0,0.0694,0.5,0
90,238.1668,0,0,0,0.0694,0.5,0
91,598.9425,0,0,0,0.0723,0.5,0
92,598.9425,0,0,0,0.0723,0.5,0
93,546.7414,0,0,0,0.0776,0.5,0
94,546.7414,0,0,0,0.0776,0.5,0
95,1359.6636,0,0,0,0.0833,0.5,0
96,1359.6636,0,0,0,0.0833,0.5,0
97,905.3826,0,0,0,0.1074,0.5,0
98,905.3826,0,0,0,0.1074,0.5,0
99,5981.8311,0,0,0,0.1126,0.5,0
100,5981.8311,0,0,0,0.1126,0.5,0
101,14246.4502,0,0,0,0.1266,0.5,0
102,14246.4502,0,0,0,0.1266,0.5,0
103,19417.582,0,0,0,0.1476,0.5,0
104,19417.582,0,0,0,0.1476,0.5,0
105,38693.0859,0,0,0,0.1693,0.5,0
106,38693.0859,0,0,0,0.1693,0.5,0
107,52395.3203,0,0,0,0.1964,0.5,0
108,52395.3203,0,0,0,0.1964,0.5,0
