Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,2.2155,0.5,0
2,0.0,0,0,0,2.2155,0.5,0
3,0.0,0,0,0,2.8657,0.5,0
4,0.0,0,0,0,2.8657,0.5,0
5,0.0,0,0,0,3.2376,0.5,0
6,0.0,0,0,0,3.2376,0.5,0
7,0.0,0,0,0,2.8442,0.5,0
8,0.0,0,0,0,2.8442,0.5,0
9,0.0,0,0,0,2.5875,0.5,0
10,0.0,0,0,0,2.5875,0.5,0
11,0.0,0,0,0,1.0719,0.5,0
12,0.0,0,0,0,1.0719,0.5,0
13,0.0,0,0,0,1.417,0.5,0
14,0.0,0,0,0,1.417,0.5,0
15,0.0,0,0,0,1.4238,0.5,0
16,0.0,0,0,0,1.4238,0.5,0
17,0.0,0,0,0,1.3104,0.5,0
18,0.0,0,0,0,1.3104,0.5,0
19,0.0,0,0,0,1.0811,0.5,0
20,0.0,0,0,0,1.0811,0.5,0
21,0.0,0,0,0,1.2049,0.5,0
22,0.0,0,0,0,1.2049,0.5,0
23,0.0,0,0,0,1.2548,0.5,0
24,0.0,0,0,0,1.2548,0.5,0
25,0.0,0,0,0,1.0144,0.5,0
26,0.0,0,0,0,1.0144,0.5,0
27,0.0,0,0,0,0.8094,0.5,0
28,0.0,0,0,0,0.8094,0.5,0
29,0.0,0,0,0,0.3366,0.5,0
