Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0,0.5,0
24,0.0,0,0,0,0.0,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0,0.5,0
30,0.0,0,0,0,0.0,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0002,0.5,0
34,0.0,0,0,0,0.0002,0.5,0
35,0.0,0,0,0,0.0001,0.5,0
36,0.0,0,0,0,0.0001,0.5,0
37,0.0,0,0,0,0.0001,0.5,0
38,0.0,0,0,0,0.0001,0.5,0
39,0.0,0,0,0,0.0,0.5,0
40,0.0,0,0,0,0.0,0.5,0
41,0.0,0,0,0,0.0,0.5,0
42,0.0,0,0,0,0.0,0.5,0
43,14399.3418,0,0,0,0.0097,0.5,0
44,14399.3418,0,0,0,0.0097,0.5,0
45,5297.9199,0,0,0,0.0102,0.5,0
46,5297.9199,0,0,0,0.0102,0.5,0
47,23075.1875,0,0,0,0.0215,0.5,0
48,23075.1875,0,0,0,0.0215,0.5,0
49,5637.2134,0,0,0,0.0191,0.5,0
50,5637.2134,0,0,0,0.0191,0.5,0
51,13865.7354,0,0,0,0.0195,0.5,0
52,13865.7354,0,0,0,0.0195,0.5,0
53,11590.3857,0,0,0,0.0171,0.5,0
54,11590.3857,0,0,0,0.0171,0.5,0
55,1733.1848,0,0,0,0.0122,0.5,0
56,1733.1848,0,0,0,0.0122,0.5,0
57,17907.8184,0,0,0,0.0167,0.5,0
58,17907.8184,0,0,0,0.0167,0.5,0
59,8343.9121,0,0,0,0.0201,0.5,0
60,8343.9121,0,0,0,0.0201,0.5,0
61,3773.6504,0,0,0,0.0172,0.5,0
62,3773.6504,0,0,0,0.0172,0.5,0
63,3483.2253,0,0,0,0.0114,0.5,0
64,3483.2253,0,0,0,0.0114,0.5,0
65,1255.7708,0,0,0,0.0083,0.5,0
66,1255.7708,0,0,0,0.0083,0.5,0
67,736.1845,0,0,0,0.007,0.5,0
68,736.1845,0,0,0,0.007,0.5,0
69,7833.4087,0,0,0,0.0097,0.5,0
70,7833.4087,0,0,0,0.0097,0.5,0
71,594.985,0,0,0,0.0061,0.5,0
72,594.985,0,0,0,0.0061,0.5,0
73,527.8085,0,0,0,0.0046,0.5,0
74,527.8085,0,0,0,0.0046,0.5,0
75,1509.4214,0,0,0,0.0044,0.5,0
76,1509.4214,0,0,0,0.0044,0.5,0
77,0.0,0,0,0,0.0028,0.5,0
78,0.0,0,0,0,0.0028,0.5,0
79,413.3947,0,0,0,0.0019,0.5,0
80,413.3947,0,0,0,0.0019,0.5,0
81,1566.9697,0,0,0,0.0019,0.5,0
82,1566.9697,0,0,0,0.0019,0.5,0
83,3169.1782,0,0,0,0.0024,0.5,0
84,3169.1782,0,0,0,0.0024,0.5,0
85,105.3742,0,0,0,0.0015,0.5,0
86,105.3742,0,0,0,0.0015,0.5,0
87,0.0,0,0,0,0.0011,0.5,0
88,0.0,0,0,0,0.0011,0.5,0
89,141.9229,0,0,0,0.0012,0.5,0
90,141.9229,0,0,0,0.0012,0.5,0
91,652.6987,0,0,0,0.0013,0.5,0
92,652.6987,0,0,0,0.0013,0.5,0
93,79.9921,0,0,0,0.0008,0.5,0
94,79.9921,0,0,0,0.0008,0.5,0
95,935.9449,0,0,0,0.0009,0.5,0
96,935.9449,0,0,0,0.0009,0.5,0
97,514.5823,0,0,0,0.0011,0.5,0
98,514.5823,0,0,0,0.0011,0.5,0
99,0.0,0,0,0,0.0012,0.5,0
100,0.0,0,0,0,0.0012,0.5,0
101,0.0,0,0,0,0.0008,0.5,0
102,0.0,0,0,0,0.0008,0.5,0
103,1609.2632,0,0,0,0.0011,0.5,0
104,1609.2632,0,0,0,0.0011,0.5,0
105,0.0,0,0,0,0.0006,0.5,0
106,0.0,0,0,0,0.0006,0.5,0
107,0.0,0,0,0,0.0004,0.5,0
