Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0,0.5,0
30,0.0,0,0,0,0.0,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0003,0.5,0
34,0.0,0,0,0,0.0003,0.5,0
35,0.0,0,0,0,0.0002,0.5,0
36,0.0,0,0,0,0.0002,0.5,0
37,0.0,0,0,0,0.0002,0.5,0
38,0.0,0,0,0,0.0002,0.5,0
39,0.0,0,0,0,0.0001,0.5,0
40,0.0,0,0,0,0.0001,0.5,0
41,0.0,0,0,0,0.0001,0.5,0
42,0.0,0,0,0,0.0001,0.5,0
43,0.0,0,0,0,0.0,0.5,0
44,0.0,0,0,0,0.0,0.5,0
45,0.0,0,0,0,0.0,0.5,0
46,0.0,0,0,0,0.0,0.5,0
47,0.0,0,0,0,0.0,0.5,0
48,0.0,0,0,0,0.0,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0001,0.5,0
52,0.0,0,0,0,0.0001,0.5,0
53,0.0,0,0,0,0.0364,0.5,0
54,0.0,0,0,0,0.0364,0.5,0
55,11205.8564,0,0,0,0.2316,0.5,0
56,11205.8564,0,0,0,0.2316,0.5,0
57,16439.7422,0,0,0,0.2713,0.5,0
58,16439.7422,0,0,0,0.2713,0.5,0
59,6171.7905,0,0,0,0.348,0.5,0
60,6171.7905,0,0,0,0.348,0.5,0
61,6839.5166,0,0,0,0.3475,0.5,0
62,6839.5166,0,0,0,0.3475,0.5,0
63,16506.6211,0,0,0,0.3363,0.5,0
64,16506.6211,0,0,0,0.3363,0.5,0
65,12775.9629,0,0,0,0.3529,0.5,0
66,12775.9629,0,0,0,0.3529,0.5,0
67,8009.4458,0,0,0,0.3493,0.5,0
68,8009.4458,0,0,0,0.3493,0.5,0
69,8151.9932,0,0,0,0.369,0.5,0
70,8151.9932,0,0,0,0.369,0.5,0
71,5566.1265,0,0,0,0.3448,0.5,0
72,5566.1265,0,0,0,0.3448,0.5,0
73,603.5284,0,0,0,0.3646,0.5,0
74,603.5284,0,0,0,0.3646,0.5,0
75,5786.0547,0,0,0,0.3352,0.5,0
76,5786.0547,0,0,0,0.3352,0.5,0
77,1451.3359,0,0,0,0.3233,0.5,0
78,1451.3359,0,0,0,0.3233,0.5,0
79,2528.9673,0,0,0,0.2723,0.5,0
80,2528.9673,0,0,0,0.2723,0.5,0
81,1084.2169,0,0,0,0.2601,0.5,0
82,1084.2169,0,0,0,0.2601,0.5,0
83,1308.6454,0,0,0,0.259,0.5,0
84,1308.6454,0,0,0,0.259,0.5,0
85,6900.1226,0,0,0,0.2741,0.5,0
86,6900.1226,0,0,0,0.2741,0.5,0
87,1391.9191,0,0,0,0.2768,0.5,0
88,1391.9191,0,0,0,0.2768,0.5,0
89,2966.4792,0,0,0,0.2569,0.5,0
90,2966.4792,0,0,0,0.2569,0.5,0
91,4417.9175,0,0,0,0.2345,0.5,0
92,4417.9175,0,0,0,0.2345,0.5,0
93,2451.5286,0,0,0,0.2435,0.5,0
94,2451.5286,0,0,0,0.2435,0.5,0
95,0.0,0,0,0,0.234,0.5,0
96,0.0,0,0,0,0.234,0.5,0
97,1934.2222,0,0,0,0.2599,0.5,0
98,1934.2222,0,0,0,0.2599,0.5,0
99,3167.6094,0,0,0,0.2394,0.5,0
100,3167.6094,0,0,0,0.2394,0.5,0
101,5365.8457,0,0,0,0.2064,0.5,0
102,5365.8457,0,0,0,0.2064,0.5,0
103,1000.4005,0,0,0,0.158,0.5,0
104,1000.4005,0,0,0,0.158,0.5,0
105,116.3193,0,0,0,0.1062,0.5,0
106,116.3193,0,0,0,0.1062,0.5,0
107,434.2626,0,0,0,0.0673,0.5,0
