Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0001,0.5,0
30,0.0,0,0,0,0.0001,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0005,0.5,0
34,0.0,0,0,0,0.0005,0.5,0
35,0.0,0,0,0,0.0005,0.5,0
36,0.0,0,0,0,0.0005,0.5,0
37,0.0,0,0,0,0.0002,0.5,0
38,0.0,0,0,0,0.0002,0.5,0
39,0.0,0,0,0,0.0001,0.5,0
40,0.0,0,0,0,0.0001,0.5,0
41,0.0,0,0,0,0.0001,0.5,0
42,0.0,0,0,0,0.0001,0.5,0
43,0.0,0,0,0,0.0,0.5,0
44,0.0,0,0,0,0.0,0.5,0
45,0.0,0,0,0,0.0,0.5,0
46,0.0,0,0,0,0.0,0.5,0
47,0.0,0,0,0,0.0,0.5,0
48,0.0,0,0,0,0.0,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0002,0.5,0
52,0.0,0,0,0,0.0002,0.5,0
53,0.0,0,0,0,0.0001,0.5,0
54,0.0,0,0,0,0.0001,0.5,0
55,0.0,0,0,0,0.0001,0.5,0
56,0.0,0,0,0,0.0001,0.5,0
57,0.0,0,0,0,0.0,0.5,0
58,0.0,0,0,0,0.0,0.5,0
59,0.0,0,0,0,0.0024,0.5,0
60,0.0,0,0,0,0.0024,0.5,0
61,0.0,0,0,0,0.0015,0.5,0
62,0.0,0,0,0,0.0015,0.5,0
63,0.0,0,0,0,0.1287,0.5,0
64,0.0,0,0,0,0.1287,0.5,0
65,152509.3281,0,0,0,0.3002,0.5277,0
66,152509.3281,0,0,0,0.3002,0.5277,0
67,0.0,0,0,0,0.331,0.5,0
68,0.0,0,0,0,0.331,0.5,0
69,207856.8906,0,0,0,0.6006,0.5208,0
70,207856.8906,0,0,0,0.6006,0.5208,0
71,116947.4609,0,0,0,0.6283,0.5,0
72,116947.4609,0,0,0,0.6283,0.5,0
73,216513.1875,0,0,0,0.7082,0.5477,0
74,216513.1875,0,0,0,0.7082,0.5477,0
75,165609.5,0,0,0,0.7147,0.5087,0
76,165609.5,0,0,0,0.7147,0.5087,0
77,175754.4219,0,0,0,0.7189,0.535,0
78,175754.4219,0,0,0,0.7189,0.535,0
79,82302.3047,0,0,0,0.6277,0.5,0
80,82302.3047,0,0,0,0.6277,0.5,0
81,80722.5703,0,0,0,0.564,0.5,0
82,80722.5703,0,0,0,0.564,0.5,0
83,100944.4609,0,0,0,0.5436,0.5,0
84,100944.4609,0,0,0,0.5436,0.5,0
85,45207.1602,0,0,0,0.461,0.5,0
86,45207.1602,0,0,0,0.461,0.5,0
87,32605.7129,0,0,0,0.4033,0.5,0
88,32605.7129,0,0,0,0.4033,0.5,0
89,21437.3691,0,0,0,0.3562,0.5,0
90,21437.3691,0,0,0,0.3562,0.5,0
91,40103.7656,0,0,0,0.34,0.5,0
92,40103.7656,0,0,0,0.34,0.5,0
93,5073.1919,0,0,0,0.2864,0.5,0
94,5073.1919,0,0,0,0.2864,0.5,0
95,37886.957,0,0,0,0.2822,0.5,0
96,37886.957,0,0,0,0.2822,0.5,0
97,13525.2168,0,0,0,0.235,0.5,0
98,13525.2168,0,0,0,0.235,0.5,0
99,9618.9297,0,0,0,0.2017,0.5,0
100,9618.9297,0,0,0,0.2017,0.5,0
101,1376.3285,0,0,0,0.1732,0.5,0
102,1376.3285,0,0,0,0.1732,0.5,0
103,821.9623,0,0,0,0.1686,0.5,0
104,821.9623,0,0,0,0.1686,0.5,0
105,1867.8439,0,0,0,0.1474,0.5,0
106,1867.8439,0,0,0,0.1474,0.5,0
107,21596.9062,0,0,0,0.1748,0.5,0
