Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0001,0.5,0
24,0.0,0,0,0,0.0001,0.5,0
25,0.0,0,0,0,0.0,0.5,0
26,0.0,0,0,0,0.0,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0001,0.5,0
30,0.0,0,0,0,0.0001,0.5,0
31,0.0,0,0,0,0.0,0.5,0
32,0.0,0,0,0,0.0,0.5,0
33,0.0,0,0,0,0.0006,0.5,0
34,0.0,0,0,0,0.0006,0.5,0
35,0.0,0,0,0,0.0007,0.5,0
36,0.0,0,0,0,0.0007,0.5,0
37,0.0,0,0,0,0.0004,0.5,0
38,0.0,0,0,0,0.0004,0.5,0
39,0.0,0,0,0,0.0002,0.5,0
40,0.0,0,0,0,0.0002,0.5,0
41,0.0,0,0,0,0.0001,0.5,0
42,0.0,0,0,0,0.0001,0.5,0
43,0.0,0,0,0,0.0001,0.5,0
44,0.0,0,0,0,0.0001,0.5,0
45,0.0,0,0,0,0.0001,0.5,0
46,0.0,0,0,0,0.0001,0.5,0
47,0.0,0,0,0,0.0,0.5,0
48,0.0,0,0,0,0.0,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0003,0.5,0
52,0.0,0,0,0,0.0003,0.5,0
53,0.0,0,0,0,0.0002,0.5,0
54,0.0,0,0,0,0.0002,0.5,0
55,0.0,0,0,0,0.0001,0.5,0
56,0.0,0,0,0,0.0001,0.5,0
57,0.0,0,0,0,0.0,0.5,0
58,0.0,0,0,0,0.0,0.5,0
59,0.0,0,0,0,0.1345,0.5,0
60,0.0,0,0,0,0.1345,0.5,0
61,35847.0273,0,0,0,0.19,0.5,0
62,35847.0273,0,0,0,0.19,0.5,0
63,26684.2949,0,0,0,0.2724,0.5,0
64,26684.2949,0,0,0,0.2724,0.5,0
65,26411.291,0,0,0,0.3308,0.5,0
66,26411.291,0,0,0,0.3308,0.5,0
67,41811.1367,0,0,0,0.3602,0.5,0
68,41811.1367,0,0,0,0.3602,0.5,0
69,42639.8047,0,0,0,0.3953,0.5,0
70,42639.8047,0,0,0,0.3953,0.5,0
71,50931.7695,0,0,0,0.4262,0.5,0
72,50931.7695,0,0,0,0.4262,0.5,0
73,53678.6211,0,0,0,0.4449,0.5,0
74,53678.6211,0,0,0,0.4449,0.5,0
75,54643.0195,0,0,0,0.4501,0.5,0
76,54643.0195,0,0,0,0.4501,0.5,0
77,60545.668,0,0,0,0.4019,0.5,0
78,60545.668,0,0,0,0.4019,0.5,0
79,15516.8008,0,0,0,0.4088,0.5,0
80,15516.8008,0,0,0,0.4088,0.5,0
81,12421.1553,0,0,0,0.3803,0.5,0
82,12421.1553,0,0,0,0.3803,0.5,0
83,16205.1514,0,0,0,0.3558,0.5,0
84,16205.1514,0,0,0,0.3558,0.5,0
85,8898.5205,0,0,0,0.2985,0.5,0
86,8898.5205,0,0,0,0.2985,0.5,0
87,5887.751,0,0,0,0.2982,0.5,0
88,5887.751,0,0,0,0.2982,0.5,0
89,3793.2302,0,0,0,0.2789,0.5,0
90,3793.2302,0,0,0,0.2789,0.5,0
91,1370.2488,0,0,0,0.2785,0.5,0
92,1370.2488,0,0,0,0.2785,0.5,0
93,0.0,0,0,0,0.179,0.5,0
94,0.0,0,0,0,0.179,0.5,0
95,3726.5981,0,0,0,0.184,0.5,0
96,3726.5981,0,0,0,0.184,0.5,0
97,879.2081,0,0,0,0.194,0.5,0
98,879.2081,0,0,0,0.194,0.5,0
99,754.7973,0,0,0,0.2051,0.5,0
100,754.7973,0,0,0,0.2051,0.5,0
101,3176.5166,0,0,0,0.2156,0.5,0
102,3176.5166,0,0,0,0.2156,0.5,0
103,1903.4468,0,0,0,0.2249,0.5,0
104,1903.4468,0,0,0,0.2249,0.5,0
105,115.7735,0,0,0,0.2218,0.5,0
106,115.7735,0,0,0,0.2218,0.5,0
107,1198.8773,0,0,0,0.2129,0.5,0
