Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,0.0,0,0,0,0.0,0.5,0
4,0.0,0,0,0,0.0,0.5,0
5,0.0,0,0,0,0.0,0.5,0
6,0.0,0,0,0,0.0,0.5,0
7,0.0,0,0,0,0.0,0.5,0
8,0.0,0,0,0,0.0,0.5,0
9,0.0,0,0,0,0.0,0.5,0
10,0.0,0,0,0,0.0,0.5,0
11,0.0,0,0,0,0.0,0.5,0
12,0.0,0,0,0,0.0,0.5,0
13,0.0,0,0,0,0.0,0.5,0
14,0.0,0,0,0,0.0,0.5,0
15,0.0,0,0,0,0.0,0.5,0
16,0.0,0,0,0,0.0,0.5,0
17,0.0,0,0,0,0.0,0.5,0
18,0.0,0,0,0,0.0,0.5,0
19,0.0,0,0,0,0.0,0.5,0
20,0.0,0,0,0,0.0,0.5,0
21,0.0,0,0,0,0.0,0.5,0
22,0.0,0,0,0,0.0,0.5,0
23,0.0,0,0,0,0.0002,0.5,0
24,0.0,0,0,0,0.0002,0.5,0
25,0.0,0,0,0,0.0001,0.5,0
26,0.0,0,0,0,0.0001,0.5,0
27,0.0,0,0,0,0.0,0.5,0
28,0.0,0,0,0,0.0,0.5,0
29,0.0,0,0,0,0.0002,0.5,0
30,0.0,0,0,0,0.0002,0.5,0
31,0.0,0,0,0,0.0001,0.5,0
32,0.0,0,0,0,0.0001,0.5,0
33,0.0,0,0,0,0.0,0.5,0
34,0.0,0,0,0,0.0,0.5,0
35,0.0,0,0,0,0.0029,0.5,0
36,0.0,0,0,0,0.0029,0.5,0
37,0.0,0,0,0,0.0016,0.5,0
38,0.0,0,0,0,0.0016,0.5,0
39,0.0,0,0,0,0.0009,0.5,0
40,0.0,0,0,0,0.0009,0.5,0
41,0.0,0,0,0,0.0005,0.5,0
42,0.0,0,0,0,0.0005,0.5,0
43,0.0,0,0,0,0.0002,0.5,0
44,0.0,0,0,0,0.0002,0.5,0
45,0.0,0,0,0,0.0001,0.5,0
46,0.0,0,0,0,0.0001,0.5,0
47,0.0,0,0,0,0.0001,0.5,0
48,0.0,0,0,0,0.0001,0.5,0
49,0.0,0,0,0,0.0,0.5,0
50,0.0,0,0,0,0.0,0.5,0
51,0.0,0,0,0,0.0013,0.5,0
52,0.0,0,0,0,0.0013,0.5,0
53,0.0,0,0,0,0.0007,0.5,0
54,0.0,0,0,0,0.0007,0.5,0
55,0.0,0,0,0,0.0004,0.5,0
56,0.0,0,0,0,0.0004,0.5,0
57,0.0,0,0,0,0.0002,0.5,0
58,0.0,0,0,0,0.0002,0.5,0
59,0.0,0,0,0,0.0151,0.5,0
60,0.0,0,0,0,0.0151,0.5,0
61,0.0,0,0,0,0.0097,0.5,0
62,0.0,0,0,0,0.0097,0.5,0
63,0.0,0,0,0,0.0055,0.5,0
64,0.0,0,0,0,0.0055,0.5,0
65,0.0,0,0,0,0.0032,0.5,0
66,0.0,0,0,0,0.0032,0.5,0
67,7746193.0,2,0,2,2.1347,0.96,0
68,7746193.0,0,0,0,2.1347,0.96,0
69,4967.9253,0,0,0,1.3222,0.5,0
70,4967.9253,0,0,0,1.3222,0.5,0
71,3244.6257,0,0,0,0.872,0.5,0
72,3244.6257,0,0,0,0.872,0.5,0
73,15659.6943,0,0,0,0.6471,0.5,0
74,15659.6943,0,0,0,0.6471,0.5,0
75,4383.0698,0,0,0,0.5232,0.5,0
76,4383.0698,0,0,0,0.5232,0.5,0
77,10203.332,0,0,0,0.4721,0.5,0
78,10203.332,0,0,0,0.4721,0.5,0
79,6466.3276,0,0,0,0.4448,0.5,0
80,6466.3276,0,0,0,0.4448,0.5,0
81,1706.7141,0,0,0,0.4348,0.5,0
82,1706.7141,0,0,0,0.4348,0.5,0
83,22107.9219,0,0,0,0.5575,0.5,0
84,22107.9219,0,0,0,0.5575,0.5,0
85,5554.3892,0,0,0,0.4769,0.5,0
86,5554.3892,0,0,0,0.4769,0.5,0
87,2358.8801,0,0,0,0.4487,0.5,0
88,2358.8801,0,0,0,0.4487,0.5,0
89,2374.1274,0,0,0,0.4093,0.5,0
90,2374.1274,0,0,0,0.4093,0.5,0
91,1198.8661,0,0,0,0.3826,0.5,0
92,1198.8661,0,0,0,0.3826,0.5,0
93,523.7805,0,0,0,0.3349,0.5,0
94,523.7805,0,0,0,0.3349,0.5,0
95,6081.1821,0,0,0,0.3258,0.5,0
96,6081.1821,0,0,0,0.3258,0.5,0
97,343.1132,0,0,0,0.3132,0.5,0
98,343.1132,0,0,0,0.3132,0.5,0
99,380.9484,0,0,0,0.2999,0.5,0
100,380.9484,0,0,0,0.2999,0.5,0
101,717.3928,0,0,0,0.3096,0.5,0
102,717.3928,0,0,0,0.3096,0.5,0
103,66.4234,0,0,0,0.2696,0.5,0
104,66.4234,0,0,0,0.2696,0.5,0
105,395.7251,0,0,0,0.2418,0.5,0
106,395.7251,0,0,0,0.2418,0.5,0
107,965.507,0,0,0,0.2154,0.5,0
